TR,Group,Letter,Aperture
W,Water,A,5.430725
D-AF-W,Water,B,6.456704
RL-AF-W,Water,C,7.503875
S,Buffer,A,5.55104
D-AF-S,Buffer,B,5.328313
RL-AF-S,Buffer,C,7.332988
W,Water,A,5.25997
D-AF-W,Water,B,5.421771
RL-AF-W,Water,C,7.439724
S,Buffer,A,4.843982
D-AF-S,Buffer,B,5.73196
RL-AF-S,Buffer,C,7.665383
W,Water,A,4.068599
D-AF-W,Water,B,3.761596
RL-AF-W,Water,C,5.591528
S,Buffer,A,4.00489
D-AF-S,Buffer,B,4.260693
RL-AF-S,Buffer,C,5.673629
W,Water,A,3.723372
D-AF-W,Water,B,4.19941
RL-AF-W,Water,C,7.231413
S,Buffer,A,3.941265
D-AF-S,Buffer,B,4.119377
RL-AF-S,Buffer,C,6.655005
