T,Group,Aperture,
MC,MC,3.550265957,
5 to 6.5,F01,3.242287234,
6.5 to 7,F02,5.560904255,
7 to 8,F03,4.989361702,
 8 to 9,F04,5.009840426,
9 to 11,F05,3.102925532,
11 to 14,F06,5.585106383,
14 to 17,F07,4.052925532,
17 to 20,F08,3.946276596,
MC,MC,3.505319149,
5 to 6.5,F01,3.492819149,
6.5 to 7,F02,5.115425532,
7 to 8,F03,4.092819149,
 8 to 9,F04,5.506914894,
9 to 11,F05,4.167021277,
11 to 14,F06,3.666489362,
14 to 17,F07,4.235638298,
17 to 20,F08,3.979255319,
,MC,3.448670213,
5 to 6.5,F01,4.25,
6.5 to 7,F02,5.13537234,
7 to 8,F03,5.281914894,
 8 to 9,F04,5.375531915,
9 to 11,F05,3.705585106,
11 to 14,F06,4.1875,
14 to 17,F07,3.788829787,
17 to 20,F08,4.439361702,
