Group,Treatment,Time,gsw
a,Dark+1mM ,1,0.00058561
a,Dark+1mM ,2,0.004504817
a,Dark+1mM ,3,0.000707611
a,Dark+1mM ,4,0.005182955
a,Dark+1mM ,5,0.00362002
a,Dark+1mM ,6,0.003807875
a,Dark+1mM ,7,0.002978435
a,Dark+1mM ,8,0.003197184
a,Dark+1mM ,9,0.00403392
a,Dark+1mM ,10,0.003953591
a,Dark+1mM ,11,0.012448471
a,Dark+1mM ,12,0.007386087
a,Dark+1mM ,13,0.005304386
a,Dark+1mM ,14,0.009671156
a,Dark+1mM ,15,0.007387403
a,Dark+1mM ,16,0.008516946
a,Dark+1mM ,17,0.008167587
a,Dark+1mM ,18,0.009631778
a,Dark+1mM ,19,0.008919186
a,Dark+1mM ,20,0.008779024
a,Dark+1mM ,21,0.009267289
a,Dark+1mM ,22,0.004259723
a,Dark+1mM ,23,0.002673101
a,Dark+1mM ,24,0.004130813
a,Dark+1mM ,25,0.007154957
a,Dark+1mM ,26,0.007801975
a,Dark+1mM ,27,0.007005077
a,Dark+1mM ,28,0.004405873
a,Dark+1mM ,29,0.006630896
a,Dark+1mM ,30,0.004886257
a,Dark+1mM ,31,0.006802933
a,Dark+1mM ,32,0.008246052
a,Dark+1mM ,33,0.008718198
a,Dark+1mM ,34,0.008349245
a,Dark+1mM ,35,0.008553403
a,Dark+1mM ,36,0.005583003
a,Dark+1mM ,37,0.006624933
a,Dark+1mM ,38,0.004998622
a,Dark+1mM ,39,0.005941324
a,Dark+1mM ,40,0.007414715
a,Dark+1mM ,41,0.005611091
a,Dark+1mM ,42,0.005691387
a,Dark+1mM ,43,0.007190138
a,Dark+1mM ,44,0.006155358
a,Dark+1mM ,45,0.007976356
a,Dark+1mM ,46,0.006448499
a,Dark+1mM ,47,0.006694946
a,Dark+1mM ,48,0.00588016
a,Dark+1mM ,49,0.00933295
a,Dark+1mM ,50,0.006567137
a,Dark+1mM ,51,0.010594421
a,Dark+1mM ,52,0.006968493
a,Dark+1mM ,53,0.006444644
a,Dark+1mM ,54,0.006534058
a,Dark+1mM ,55,0.006334609
a,Dark+1mM ,56,0.010510538
a,Dark+1mM ,57,0.006925708
a,Dark+1mM ,58,0.006362565
a,Dark+1mM ,59,0.009037873
a,Dark+1mM ,60,0.0068925
a,Dark+1mM ,61,0.006506915
a,Dark+1mM ,62,0.005947938
a,Dark+1mM ,63,0.006323224
a,Dark+1mM ,64,0.008485878
a,Dark+1mM ,65,0.008594392
a,Dark+1mM ,66,0.006843177
a,Dark+1mM ,67,0.005821823
a,Dark+1mM ,68,0.006672512
a,Dark+1mM ,69,0.009408503
