Group,group,Aperture
MC,MC,4.689361702
F01,F01,5.159042553
F02,F02,5.571542553
F03,F03,8.580053191
F04,F04,8.106648936
F05,F05,10.17367021
F06,F06,5.474734043
F07,F07,4.635106383
F08,F08,4.396808511
MC,MC,4.922606383
F01,F01,7.138031915
F02,F02,6.1125
F03,F03,8.465425532
F05,F05,7.984308511
F06,F06,5.605585106
F07,F07,5.392553191
F08,F08,5.419148936
MC,MC,5.233510638
F01,F01,5.603457447
F02,F02,5.318351064
F03,F03,10.87180851
F04,F04,9.411702128
F05,F05,9.236702128
F06,F06,4.895212766
F07,F07,4.925
F08,F08,5.269680851
MC,MC,3.969946809
F01,F01,4.354521277
F02,F02,4.894946809
F03,F03,4.468085106
F04,F04,7.611170213
F05,F05,6.918882979
F07,F07,4.175797872
F08,F08,3.818085106
MC,MC,4.854787234
F01,F01,4.957978723
F02,F02,3.970478723
F03,F03,7.134042553
F04,F04,3.893351064
F06,F06,4.146276596
F07,F07,3.754255319
F08,F08,4.18643617
