V,Trearment,AVG,STE
-140,Control,-1.58582,0.06665
-120,Control,-1.2363,0.06074
-100,Control,-0.99454,0.04833
-80,Control,-0.77218,0.03572
-60,Control,-0.56333,0.0274
-40,Control,-0.36835,0.02149
-20,Control,-0.17574,0.01323
0,Control,0.04509,0.00579
20,Control,0.3521,0.02115
-140,Sucrose,-1.59101,0.17564
-120,Sucrose,-1.15942,0.16648
-100,Sucrose,-0.9239,0.14649
-80,Sucrose,-0.72172,0.11951
-60,Sucrose,-0.53455,0.09385
-40,Sucrose,-0.35574,0.06866
-20,Sucrose,-0.17286,0.04169
0,Sucrose,0.04354,0.01156
20,Sucrose,0.35829,0.03629
