Index,Component Name,AtRL/D FC,T test,VfRL/D FC,T test.1,Category
GCMS-TQ8040 ,Dimethylglycine,0.618606387,0.206585339,0.872282472,0.695934612,Non-proteinogenic amino acids
GCMS-TQ8040 ,2-Aminoethanol,0.975560826,0.91947824,1.213211195,0.009513783,"Amines, hexosamines and alkaloids"
GCMS-TQ8040,Docosapentaenoic acid,1.347512337,0.129392289,2.389311045,0.204769773,Fatty acids and lipids
GCMS-TQ8040,Batyl alcohol,1.275767075,0.01116625,0.727500817,0.322580674,Fatty acids and lipids
GCMS-TQ8040,Lactitol,0.958907417,0.799717244,0.972131249,0.849348272,Carbohydrates
GCMS-TQ8040,Maltitol,0.358314153,0.108245935,1.352457708,0.101158081,Carbohydrates
GCMS-TQ8040,5'-Methylthioadenosine,0.809677784,0.077165039,1.174693419,0.34591454,Nucleotide-related
GCMS-TQ8040,Phosphoric acid,0.139906462,0.041172865,0.546161026,0.045389502,Carboxylic acids
GCMS-TQ8040,Proline,1.439216875,0.38280373,1.839842648,0.240296026,Amino acid related
GCMS-TQ8040,Phenylacetic acid,1.53869868,0.350493514,0.379839994,0.205402728,Carboxylic acids
GCMS-TQ8040,3-Hydroxypyruvic acid,0.7582861,0.447501241,1.075272198,0.813079707,Carboxylic acids
GCMS-TQ8040,Uracil,1.536561949,0.015557533,0.586172551,0.035967548,Nucleotide-related
GCMS-TQ8040,Glyoxylic acid,0.585763455,0.182326377,0.871150683,0.691891198,Carboxylic acids
GCMS-TQ8040,Acetylglycine,1.286254265,0.389612403,0.499756822,0.089249099,Non-proteinogenic amino acids
GCMS-TQ8040,3-Aminopropanoic acid,0.724257828,0.388953415,0.975199019,0.900509365,Carboxylic acids
GCMS-TQ8040,Erythrulose,0.679182373,0.670022944,1.314138404,0.626883183,Carbohydrates
GCMS-TQ8040,Malic acid,1.311,0.967,19.719,0.005,Carboxylic acids
GCMS-TQ8040,N-Acetylserine,0.873041371,0.7869415,1.859410551,0.032349219,Non-proteinogenic amino acids
GCMS-TQ8040,Lactic acid,0.230717808,0.017711022,1.780570045,0.540213704,Carboxylic acids
GCMS-TQ8040,3-Aminoglutaric acid,1.080780738,0.829092633,0.912109011,0.657955579,Carboxylic acids
GCMS-TQ8040,4-Aminobutyric acid,0.351158565,0.191806714,1.336822665,0.02969367,Carboxylic acids
GCMS-TQ8040,Threonic acid,2.495768396,0.003819755,1.483467082,0.204156058,Carboxylic acids
GCMS-TQ8040,2-Ketoglutaric acid,0.419826699,0.106620733,0.686522066,0.294587927,Carboxylic acids
GCMS-TQ8040,Xylose,1.139586419,0.478447068,1.272769965,0.624250495,Carbohydrates
GCMS-TQ8040,Ureidopropionic acid,1.600509102,0.031468863,1.605002402,0.157529757,Carboxylic acids
GCMS-TQ8040,Threo-b-hydroxyaspartic acid,0.669328969,0.236380308,0.406731547,0.005622623,Carboxylic acids
GCMS-TQ8040,2-Ketoadipic acid,1.041154633,0.928580336,1.568155803,0.02126628,Carboxylic acids
GCMS-TQ8040,N-Acetylaspartic acid,0.997021751,0.989234947,1.243425931,0.389924189,Carboxylic acids
GCMS-TQ8040,Asparagine,0.610393025,0.578032679,1.601471583,0.035033004,Amino acid related
GCMS-TQ8040,Ribonolactone,1.088751846,0.459628063,1.051027878,0.793209204,Carbohydrates
GCMS-TQ8040,Arabitol,0.746982633,0.029952822,0.891605307,0.337737788,Carbohydrates
GCMS-TQ8040,"1,6-Anhydroglucose",0.761197545,0.037701842,0.893103722,0.320654264,Carbohydrates
GCMS-TQ8040,Rhamnose,0.908188878,0.732580653,0.956385704,0.691672702,Carbohydrates
GCMS-TQ8040,2-Deoxy-glucose,0.755374703,0.033536888,0.893213521,0.319746175,Carbohydrates
GCMS-TQ8040,Dihydroxyacetone phosphate,0.533556982,0.363373482,0.549525497,0.215658029,Carbohydrates
GCMS-TQ8040,Glycerol 3-phosphate,0.671699888,0.479560458,0.787743054,0.509586149,Carbohydrates
GCMS-TQ8040,2-Aminopimelic acid,0.389716951,0.094696555,0.697460108,0.265665565,Carboxylic acids
GCMS-TQ8040,Arginine,0.560576085,0.505392001,2.335031132,0.027150558,Amino acid related
GCMS-TQ8040,Glycyl-Glycine,1.548590018,0.184708506,3.113471322,0.061767286,Non-proteinogenic amino acids
GCMS-TQ8040,Psicose,1.485690103,0.033740108,3.971175623,0.064987618,Carbohydrates
GCMS-TQ8040,Pyridoxal,1.458364295,0.048024862,4.581255153,0.088288622,"Amines, hexosamines and alkaloids"
GCMS-TQ8040,Sorbose,1.453326316,0.042700883,3.897499932,0.032629959,Carbohydrates
GCMS-TQ8040,Allose,1.076186813,0.589206617,3.070616549,0.104546655,Carbohydrates
GCMS-TQ8040,Valine,1.065015115,0.700523708,1.013797977,0.950423744,Amino acid related
GCMS-TQ8040,"Glucono-1,5-lactone",1.084801495,0.545314929,3.004303743,0.09983453,Carbohydrates
GCMS-TQ8040,Hippuric acid,1.07227822,0.573234992,3.247826791,0.148031131,Carboxylic acids
GCMS-TQ8040,Mannose,1.057432959,0.67847209,3.525696887,0.116827874,Carbohydrates
GCMS-TQ8040,Erythrose 4-phosphate,0.566178701,0.017302933,1.450385493,0.348863181,Carbohydrates
GCMS-TQ8040,Galactosamine,0.438777762,0.27200067,1.863783118,0.020004208,"Amines, hexosamines and alkaloids"
GCMS-TQ8040,Pyridoxamine,0.673374349,0.751802934,1.803001853,0.112526206,"Amines, hexosamines and alkaloids"
GCMS-TQ8040,S-Benzyl-Cysteine,0.131754679,0.080199489,0.997040475,0.991033889,Amino acid related
GCMS-TQ8040,Inositol,0.670091828,0.183529735,1.033785187,0.885085663,Carbohydrates
GCMS-TQ8040,Kynurenic acid,0.878456616,0.581799423,0.941527588,0.48920576,Carboxylic acids
GCMS-TQ8040,Uric acid,0.941111499,0.756673535,0.942241614,0.557147674,Carboxylic acids
GCMS-TQ8040,Metoprolol,0.826128825,0.606009665,1.001622623,0.984455599,"Amines, hexosamines and alkaloids"
GCMS-TQ8040,Kynurenine,0.652220789,0.131276362,0.616908398,0.195852567,Amino acid related
GCMS-TQ8040,Suberylglycine,0.166711591,0.062571768,0.778844246,0.50513741,Non-proteinogenic amino acids
GCMS-TQ8040,Mannose 6-phosphate,0.234345666,0.051520631,1.051605185,0.854256335,Carbohydrates
GCMS-TQ8040,5-Methoxytryptamine,0.882906115,0.696270965,1.344494959,0.439642318,"Amines, hexosamines and alkaloids"
GCMS-TQ8040,N-Acetylneuraminic acid,1.062895965,0.781968271,2.282929449,0.177449452,Carboxylic acids
QTRAP 4000,Tyrosine,3.420060181,0.008855674,0.435494705,0.154584085,Amino acid related
QTRAP 4000,Hexuronic acid,1.109195402,0.463636099,1.193411068,0.175633421,Carboxylic acids
QTRAP 4000,Hexose-6-phosphate,0.625560538,0.235312406,1.011358856,0.958348683,Carbohydrates
QTRAP 4000,Heptadecanoic acid,0.928615511,0.646442597,1.06574515,0.797241944,Carboxylic acids
QTRAP 4000,Guanosine,1.242040816,0.075518584,0.809156095,0.543029591,Nucleotide-related
QTRAP 4000,Glycyl Proline,0.715528536,0.098992488,2.278203724,0.052221811,Non-proteinogenic amino acids
QTRAP 4000,Glycine,1.343152008,0.210553312,1.921052632,0.006965574,Amino acid related
QTRAP 4000,Glycerol-3-galactoside,1.259479486,0.57137724,1.301527183,0.255386272,Carbohydrates
QTRAP 4000,Tyramine,1.185457667,0.176609608,2.956693168,0.101745453,"Amines, hexosamines and alkaloids"
QTRAP 4000,Glyceric acid,0.923644432,0.571050498,0.999696866,0.998602501,Carboxylic acids
QTRAP 4000,Glutamine,0.6946125,0.321398324,2.385535926,0.246274341,Amino acid related
QTRAP 4000,Glucose-6-phosphate,0.787148594,0.328497804,1.503161947,0.295359346,Carbohydrates
QTRAP 4000,Glucose-1-phosphate,1.027106949,0.907119591,1.973675611,0.014000246,Carbohydrates
QTRAP 4000,Glucose,1.960440932,0.081932015,2.711511317,0.011421192,Carbohydrates
QTRAP 4000,Gluconic acid lactone,0.990572986,0.954688046,1.122108705,0.786129986,Carboxylic acids
QTRAP 4000,Gluconic acid,0.928993085,0.83402254,1.397241379,0.227204877,Carboxylic acids
QTRAP 4000,Galacturonic acid,0.797761482,0.177668818,0.792266557,0.207313199,Carboxylic acids
QTRAP 4000,Trisaccharide,0.986750349,0.947415832,1.031818182,0.891361683,Carbohydrates
