Metabolite,Species,Score,Category
Dimethylglycine,A. thaliana,0.618606387,Non-proteinogenic amino acids
2-Aminoethanol,A. thaliana,0.975560826,Amino acid related
Docosapentaenoic acid,A. thaliana,1.347512337,Fatty acids and lipids
Batyl alcohol,A. thaliana,1.275767075,Fatty acids and lipids
Lactitol,A. thaliana,0.958907417,Carbohydrates
Maltitol,A. thaliana,0.358314153,Carbohydrates
5'-Methylthioadenosine,A. thaliana,0.809677784,Nucleotide-related 
Phosphoric acid,A. thaliana,0.139906462,Carboxylic acids
Proline,A. thaliana,1.439216875,"Amines, hexosamines and alkaloids "
Phenylacetic acid,A. thaliana,1.53869868,Carboxylic acids
3-Hydroxypyruvic acid,A. thaliana,0.7582861,Carboxylic acids
Uracil,A. thaliana,1.536561949,Nucleotide-related 
Glyoxylic acid,A. thaliana,0.585763455,Carboxylic acids
Acetylglycine,A. thaliana,1.286254265,Non-proteinogenic amino acids
3-Aminopropanoic acid,A. thaliana,0.724257828,Carboxylic acids
Erythrulose,A. thaliana,0.679182373,Carbohydrates
N-Acetylserine,A. thaliana,0.873041371,Non-proteinogenic amino acids
Lactic acid,A. thaliana,0.230717808,Carboxylic acids
3-Aminoglutaric acid,A. thaliana,1.080780738,Carboxylic acids
4-Aminobutyric acid,A. thaliana,0.351158565,Carboxylic acids
Threonic acid,A. thaliana,2.495768396,Carboxylic acids
2-Ketoglutaric acid,A. thaliana,0.419826699,Carboxylic acids
Xylose,A. thaliana,1.139586419,Carbohydrates
Ureidopropionic acid,A. thaliana,1.600509102,Carboxylic acids
Threo-b-hydroxyaspartic acid,A. thaliana,0.669328969,Carboxylic acids
2-Ketoadipic acid,A. thaliana,1.041154633,Carboxylic acids
N-Acetylaspartic acid,A. thaliana,0.997021751,Carboxylic acids
Asparagine,A. thaliana,0.610393025,"Amines, hexosamines and alkaloids "
Ribonolactone,A. thaliana,1.088751846,Carbohydrates
Arabitol,A. thaliana,0.746982633,Carbohydrates
"1,6-Anhydroglucose",A. thaliana,0.761197545,Carbohydrates
Rhamnose,A. thaliana,0.908188878,Carbohydrates
2-Deoxy-glucose,A. thaliana,0.755374703,Carbohydrates
Dihydroxyacetone phosphate,A. thaliana,0.533556982,Carbohydrates
Glycerol 3-phosphate,A. thaliana,0.671699888,Carbohydrates
2-Aminopimelic acid,A. thaliana,0.389716951,Carboxylic acids
Arginine,A. thaliana,0.560576085,"Amines, hexosamines and alkaloids "
Glycyl-Glycine,A. thaliana,1.548590018,Non-proteinogenic amino acids
Psicose,A. thaliana,1.485690103,Carbohydrates
Pyridoxal,A. thaliana,1.458364295,Amino acid related
Sorbose,A. thaliana,1.453326316,Carbohydrates
Allose,A. thaliana,1.076186813,Carbohydrates
Valine,A. thaliana,1.065015115,"Amines, hexosamines and alkaloids "
"Glucono-1,5-lactone",A. thaliana,1.084801495,Carbohydrates
Hippuric acid,A. thaliana,1.07227822,Carboxylic acids
Mannose,A. thaliana,1.057432959,Carbohydrates
Erythrose 4-phosphate,A. thaliana,0.566178701,Carbohydrates
Galactosamine,A. thaliana,0.438777762,Amino acid related
Pyridoxamine,A. thaliana,0.673374349,Amino acid related
S-Benzyl-Cysteine,A. thaliana,0.131754679,"Amines, hexosamines and alkaloids "
Inositol,A. thaliana,0.670091828,Carbohydrates
Kynurenic acid,A. thaliana,0.878456616,Carboxylic acids
Uric acid,A. thaliana,0.941111499,Carboxylic acids
Metoprolol,A. thaliana,0.826128825,Amino acid related
Kynurenine,A. thaliana,0.652220789,"Amines, hexosamines and alkaloids "
Suberylglycine,A. thaliana,0.166711591,Non-proteinogenic amino acids
Mannose 6-phosphate,A. thaliana,0.234345666,Carbohydrates
5-Methoxytryptamine,A. thaliana,0.882906115,Amino acid related
N-Acetylneuraminic acid,A. thaliana,1.062895965,Carboxylic acids
Tyrosine,A. thaliana,3.420060181,"Amines, hexosamines and alkaloids "
Hexuronic acid,A. thaliana,1.109195402,Carboxylic acids
Hexose-6-phosphate,A. thaliana,0.625560538,Carbohydrates
Heptadecanoic acid,A. thaliana,0.928615511,Carboxylic acids
Guanosine,A. thaliana,1.242040816,Nucleotide-related 
Glycyl Proline,A. thaliana,0.715528536,Non-proteinogenic amino acids
Glycine,A. thaliana,1.343152008,"Amines, hexosamines and alkaloids "
Glycerol-3-galactoside,A. thaliana,1.259479486,Carbohydrates
Tyramine,A. thaliana,1.185457667,Amino acid related
Glyceric acid,A. thaliana,0.923644432,Carboxylic acids
Glutamine,A. thaliana,0.6946125,"Amines, hexosamines and alkaloids "
Glucose-1-phosphate,A. thaliana,1.027106949,Carbohydrates
Glucose,A. thaliana,1.960440932,Carbohydrates
Gluconic acid lactone,A. thaliana,0.990572986,Carboxylic acids
Gluconic acid,A. thaliana,0.928993085,Carboxylic acids
Galacturonic acid,A. thaliana,0.797761482,Carboxylic acids
Trisaccharide,A. thaliana,0.986750349,Carbohydrates
Galactose,A. thaliana,1.548210954,Carbohydrates
Galactinol,A. thaliana,1.592819187,Carbohydrates
Fumaric acid,A. thaliana,11.02840267,Carboxylic acids
Fucose,A. thaliana,0.953783728,Carbohydrates
Fructose,A. thaliana,1.626438797,Carbohydrates
Ethanolamine,A. thaliana,1.591198141,Amino acid related
Erythrose,A. thaliana,2.584970377,Carbohydrates
Erythronic acid lactone,A. thaliana,1.167761357,Carboxylic acids
Epsilon-caprolactam,A. thaliana,0.863831662,Carbohydrates
Trehalose,A. thaliana,1.464163823,Carbohydrates
Enolpyruvate,A. thaliana,0.708506076,Carboxylic acids
Dihydroxyacetone,A. thaliana,1.577252117,Carbohydrates
Digitoxose,A. thaliana,0.778089734,Carbohydrates
Cyanoalanine,A. thaliana,1.03424728,"Amines, hexosamines and alkaloids "
Conduritol-beta-epoxide,A. thaliana,2.037562604,Carbohydrates
Citrulline,A. thaliana,0.416588276,Non-proteinogenic amino acids
Citric acid,A. thaliana,0.315446026,Carboxylic acids
Citramalic acid,A. thaliana,3.031964854,Carboxylic acids
Cerotinic acid,A. thaliana,0.94400289,Carboxylic acids
Cellobiose,A. thaliana,1.23294959,Carbohydrates
Capric acid,A. thaliana,0.745622896,Carboxylic acids
Butyrolactam,A. thaliana,1.091580869,Amino acid related
Butylamine,A. thaliana,1.046172249,Amino acid related
Beta-gentiobiose,A. thaliana,0.670820468,Carbohydrates
Beta-alanine,A. thaliana,0.79639798,"Amines, hexosamines and alkaloids "
Benzoic acid,A. thaliana,0.649489126,Carboxylic acids
Arachidic acid,A. thaliana,0.931110249,Carboxylic acids
Alpha-Ketoglutarate,A. thaliana,0.646787755,Carboxylic acids
Alpha-Aminoadipic acid,A. thaliana,1.37015297,"Amines, hexosamines and alkaloids "
Alloxanoic acid,A. thaliana,0.800408223,Carboxylic acids
Allantoic acid,A. thaliana,1.535299516,Carboxylic acids
Tagatose,A. thaliana,1.648503499,Carbohydrates
Aconitic acid,A. thaliana,0.423389232,Carboxylic acids
6-Deoxyglucose,A. thaliana,1.056999156,Carbohydrates
5-Methyluridine,A. thaliana,1.843971631,Nucleotide-related 
5-Aminovaleric acid,A. thaliana,0.91312909,"Amines, hexosamines and alkaloids "
4-Methylbenzenesulfonamide,A. thaliana,0.813002897,Sulfur-containing metabolites  
4-Hydroxybutyric acid,A. thaliana,0.759629883,Carboxylic acids
4-Hydroxybenzoic acid (4-Hba),A. thaliana,0.715552927,Carboxylic acids
Sucrose,A. thaliana,4.723495702,Carbohydrates
3-Hydroxypropionic acid,A. thaliana,0.860391277,Carboxylic acids
3-Dehydroshikimic acid,A. thaliana,0.597980844,Carboxylic acids
3-Aminoisobutyric acid,A. thaliana,0.742492268,Non-proteinogenic amino acids
"3,4-Dihydroxyphenylacetic acid",A. thaliana,0.815472416,Carboxylic acids
"3,4-Dihydroxybenzoic acid",A. thaliana,0.696559835,Carboxylic acids
2-Monopalmitin,A. thaliana,1.404842569,Fatty acids and lipids
2-Methylglyceric acid,A. thaliana,3.773455979,Carboxylic acids
2-Hydroxyglutaric acid,A. thaliana,1.505893491,Carboxylic acids
