Metabolite,Treatment,Species,Change,SE,Ttest,Letter
Glucose,Dark,Arabisopsis thaliana,1,0.114834672,0.07076659,a
Glucose,RL,Arabisopsis thaliana,1.960440932,0.469086593,0.07076659,b
Sucrose,Dark,Arabisopsis thaliana,1,0.333015156,0.124310286,a
Sucrose,RL,Arabisopsis thaliana,4.723495702,0.67108951,0.124310286,b
Malic acid,Dark,Arabisopsis thaliana,1,0.089391871,0.256435711,a
Malic acid,RL,Arabisopsis thaliana,1.311322203,0.467580973,0.256435711,a
Threonic acid,Dark,Arabisopsis thaliana,1,0.189262875,0.005418412,a
Threonic acid,RL,Arabisopsis thaliana,2.495768396,0.319919338,0.005418412,b
MIA,Dark,Arabisopsis thaliana,1,0.315527561,0.001052331,a
MIA,RL,Arabisopsis thaliana,4.684782773,0.682234256,0.001052331,b
MTA,Dark,Arabisopsis thaliana,1,0.229502654,0.010893935,a
MTA,RL,Arabisopsis thaliana,2.057326234,0.251067068,0.010893935,b
Sorbose,Dark,Arabisopsis thaliana,1,0.145919817,0.035072279,a
Sorbose,RL,Arabisopsis thaliana,1.453326316,0.119059251,0.035072279,a
Fumaric acid,Dark,Arabisopsis thaliana,1,0.89441911,0.147534595,a
Fumaric acid,RL,Arabisopsis thaliana,11.02840267,1.939190933,0.374198682,b
Glucose,Dark,Vicia faba,1,0.377182838,0.035265465,a
Glucose,RL,Vicia faba,2.711511317,0.363757005,0.035265465,b
Sucrose,Dark,Vicia faba,1,0.617072629,0.040536507,a
Sucrose,RL,Vicia faba,7.262832277,2.553936335,0.040536507,b
Malic acid,Dark,Vicia faba,1,0.412045109,0.005388456,a
Malic acid,RL,Vicia faba,19.7190492,4.542910191,0.005388456,b
Threonic acid,Dark,Vicia faba,1,0.270795044,0.102095809,a
Threonic acid,RL,Vicia faba,1.483467082,0.221239,0.102095809,a
MIA,Dark,Vicia faba,1,0.31824411,0.159971063,a
MIA,RL,Vicia faba,4.907956949,3.741509517,0.159971063,a
MTA,Dark,Vicia faba,1,0.243466268,0.052550586,a
MTA,RL,Vicia faba,2.016726451,0.437142327,0.052550586,a
Sorbose,Dark,Vicia faba,1,0.310436945,0.022750519,a
Sorbose,RL,Vicia faba,3.897499932,1.079425796,0.022750519,b
Fumaric acid,Dark,Vicia faba,1,0.147534595,0.033405752,a
Fumaric acid,RL,Vicia faba,2.279397354,0.374198682,0.033405752,b
