Treatment,Group,Aperture
Dark,B,0.664
Dark,B,0.275
Dark,B,0.397
Dark,B,0.281
Dark,B,0.366
Dark,B,0.582
Dark,B,0.582
Dark,B,0.656
Dark,B,0.199
Dark,B,0.354
Dark,B,0.033
Dark,B,0.226
Dark,B,0.188
Dark,B,0.2
Dark,B,0.044
Dark,B,0.565
Dark,B,0.405
Dark,B,0.799
Dark,B,0.569
Dark,B,0.089
Dark,B,0.199
Dark,B,0.033
Dark,B,0.067
Dark,B,0.126
Dark,B,0.24
Dark,B,0.283
Dark,B,0.099
Dark,B,0.105
0mM,C,0.755
0mM,C,0.888
0mM,C,0.736
0mM,C,1.333
0mM,C,1.089
0mM,C,0.628
0mM,C,1.633
0mM,C,1.344
0mM,C,0.941
0mM,C,0.993
0mM,C,0.316
0mM,C,0.333
0mM,C,0.488
0mM,C,0.466
0mM,C,0.862
0mM,C,1.776
0mM,C,0.723
0mM,C,0.733
0mM,C,0.755
0mM,C,1.192
0mM,C,0.596
0mM,C,0.421
0mM,C,0.933
0mM,C,0.893
0mM,C,0.669
0mM,C,0.597
0mM,C,1.291
0mM,C,0.6
0mM,C,0.244
0mM,C,1.262
0mM,C,1.359
0mM,C,0.619
0mM,C,0.597
0mM,C,0.735
0mM,C,0.79
0mM,C,0.899
0mM,C,1.097
0.4mM,D,0.579
0.4mM,D,1.075
0.4mM,D,1.287
0.4mM,D,4.12
0.4mM,D,1.251
0.4mM,D,0.634
0.4mM,D,1.058
0.4mM,D,0.355
0.4mM,D,1.51
0.4mM,D,1.649
0.4mM,D,1.626
0.4mM,D,1.884
0.4mM,D,1.676
0.4mM,D,1.192
0.4mM,D,1.081
0.4mM,D,2.938
0.4mM,D,0.838
0.4mM,D,0.686
0.4mM,D,2.136
0.4mM,D,2.473
0.4mM,D,1.465
0.4mM,D,1.998
0.4mM,D,2.269
0.4mM,D,0.993
0.4mM,D,1.787
0.4mM,D,1.295
0.4mM,D,0.906
0.4mM,D,1.424
1mM,E,1.295
1mM,E,1.158
1mM,E,1.819
1mM,E,1.745
1mM,E,1.577
1mM,E,4.09
1mM,E,1.087
1mM,E,2.415
1mM,E,1.866
1mM,E,2.087
1mM,E,4.394
1mM,E,0.947
1mM,E,2.462
1mM,E,1.942
1mM,E,1.196
1mM,E,5.951
1mM,E,3.09
1mM,E,1.4
1mM,E,0.537
1mM,E,0.457
1mM,E,2.599
1mM,E,1.476
1mM,E,2.604
1mM,E,1.571
1mM,E,1.293
1mM,E,1.52
1mM,E,0.916
1mM,E,0.745
50mM,F,1.488
50mM,F,1.201
50mM,F,0.833
50mM,F,1.686
50mM,F,0.619
50mM,F,1.07
50mM,F,1.575
50mM,F,1.699
50mM,F,1.658
50mM,F,2.165
50mM,F,1.867
50mM,F,1.476
50mM,F,1.213
50mM,F,1.498
50mM,F,1.79
50mM,F,1.059
50mM,F,1.604
50mM,F,0.767
50mM,F,0.178
50mM,F,0.816
50mM,F,0.565
50mM,F,1.13
50mM,F,0.402
50mM,F,0.266
50mM,F,0.266
50mM,F,0.266
50mM,F,0.335
50mM,F,0.133
50mM,F,0.934
50mM,F,0.377
50mM,F,0.067
