Treatment,treat,Group,Aperture
Pre,A,A,2.383
Pre,A,A,3.032
Pre,A,A,2.449
Pre,A,A,2.684
Pre,A,A,1.043
Pre,A,A,3.536
Pre,A,A,1.913
Pre,A,A,3.222
Pre,A,A,2.043
Pre,A,A,1.856
Pre,A,A,0.802
Pre,A,A,2.029
Pre,A,A,3.972
Pre,A,A,0.298
Pre,A,A,1.986
Pre,A,A,1.033
Pre,A,A,2.066
Pre,A,A,2.141
Pre,A,A,2.012
Pre,A,A,2.628
Pre,A,A,2.073
Pre,A,A,3.109
Pre,A,A,1.225
Pre,A,A,0.695
Pre,A,A,1.441
Pre,A,A,2.334
Pre,A,A,2.468
Pre,A,A,1.972
Pre,A,A,0.984
Pre,A,A,4.132
Pre,A,A,1.146
Pre,A,A,0.094
Pre,A,A,1.15
Pre,A,A,0.54
Pre,A,A,2.641
Pre,A,A,1.998
Pre,A,A,2.457
Pre,A,A,1.708
Pre,A,A,3.509
Pre,A,A,3.056
Pre,A,A,2.202
Pre,A,A,3.872
Pre,A,A,2.865
Pre,A,A,3.537
Pre,A,A,2.152
Pre,A,A,2.882
Pre,A,A,2.383
Pre,A,A,4.693
Pre,A,A,1.404
Pre,A,A,2.559
Pre,A,A,3.843
Pre,A,A,2.301
Pre,A,A,3.88
Pre,A,A,2.424
Pre,A,A,3.085
Pre,A,A,2.782
Pre,A,A,3.938
Pre,A,A,4.057
Pre,A,A,4.687
Pre,A,A,4.19
Pre,A,A,3.001
Pre,A,A,1.777
Pre,A,A,2.665
Pre,A,A,3.797
Pre,A,A,3.823
Pre,A,A,2.493
Pre,A,A,3.567
Pre,A,A,2.79
Pre,A,A,2.066
Pre,A,A,3.366
Pre,A,A,1.264
Pre,A,A,3.044
Pre,A,A,3.777
Pre,A,A,2.537
Pre,A,A,3.6
Pre,A,A,2.457
Pre,A,A,1.312
Pre,A,A,3.382
Pre,A,A,3.933
Pre,A,A,3.823
Pre,A,A,2.606
Pre,A,A,2.93
Pre,A,A,4.753
Pre,A,A,2.244
Pre,A,A,3.343
Pre,A,A,0.178
Pre,A,A,3.154
Pre,A,A,2.413
Pre,A,A,2.86
Pre,A,A,2.106
Pre,A,A,0.894
Pre,A,A,2.755
Pre,A,A,1.134
Pre,A,A,2.402
Pre,A,A,3.337
Pre,A,A,3.658
Pre,A,A,0.799
Dark ,B,B,0.298
Dark ,B,B,0.99
Dark ,B,B,0.347
Dark ,B,B,0.764
Dark ,B,B,1.123
Dark ,B,B,0.535
Dark ,B,B,0.596
Dark ,B,B,1.51
Dark ,B,B,0.569
Dark ,B,B,0.444
Dark ,B,B,0.97
Dark ,B,B,2.025
Dark ,B,B,1.099
Dark ,B,B,2.717
Dark ,B,B,1.972
Dark ,B,B,1.697
Dark ,B,B,1.732
Dark ,B,B,0.875
Dark ,B,B,0.251
Dark ,B,B,0.711
Dark ,B,B,1.368
Dark ,B,B,0.666
Dark ,B,B,1.225
Dark ,B,B,0.4
Dark ,B,B,0.794
Dark ,B,B,1.75
Dark ,B,B,0.298
Dark ,B,B,1.03
Dark ,B,B,1.029
Dark ,B,B,0.889
Dark ,B,B,0.388
Dark ,B,B,0.666
Dark ,B,B,1.884
Dark ,B,B,2.167
Dark ,B,B,1.611
Dark ,B,B,3.523
Dark ,B,B,1.601
Dark ,B,B,1.416
Dark ,B,B,2.932
Dark ,B,B,1.113
Dark ,B,B,0.266
Dark ,B,B,1.312
Dark ,B,B,0.622
Dark ,B,B,1.979
Dark ,B,B,1.097
Dark ,B,B,1.601
Dark ,B,B,2.424
Dark ,B,B,3.932
Dark ,B,B,2.612
Dark ,B,B,2.753
Dark ,B,B,1.356
Dark ,B,B,1.247
Dark ,B,B,3.068
Dark ,B,B,0.199
Dark ,B,B,2.447
Dark ,B,B,1.034
Dark ,B,B,2.958
Dark ,B,B,1.948
Dark ,B,B,2.233
Dark ,B,B,1.91
Dark ,B,B,1.001
Dark ,B,B,2.999
Dark ,B,B,0.894
Dark ,B,B,1.334
Dark ,B,B,1.884
Dark ,B,B,3.643
Dark ,B,B,1.709
Dark ,B,B,1.865
Dark ,B,B,2.372
Dark ,B,B,2.672
Dark ,B,B,3.199
Dark ,B,B,1.466
Dark ,B,B,2.066
Dark ,B,B,1.6
Dark ,B,B,1.32
Dark ,B,B,1.344
Dark ,B,B,0.927
Dark ,B,B,3.921
Dark ,B,B,1.373
Dark ,B,B,1.019
Dark ,B,B,1.036
Dark ,B,B,1.258
Dark ,B,B,1.354
Dark ,B,B,2.979
Dark ,B,B,1.697
Dark ,B,B,0.764
Dark ,B,B,1.796
Dark ,B,B,1.266
Dark ,B,B,3.355
Dark ,B,B,0.266
Dark ,B,B,3.752
Dark ,B,B,0.961
Dark ,B,B,0.32
Dark ,B,B,1.146
Dark ,B,B,0.604
Dark ,B,B,3.326
Dark ,B,B,1.752
Dark ,B,B,0.954
Dark ,B,B,2.701
Dark ,B,B,0.813
Dark ,B,B,3.404
Dark ,B,B,1.432
Dark ,B,B,0.716
Dark ,B,B,0.81
Dark ,B,B,0.507
Dark ,B,B,0.736
Dark ,B,B,1.225
Dark ,B,B,1.287
Dark ,B,B,2.736
Dark ,B,B,1.894
Dark ,B,B,1.465
Dark ,B,B,0.799
Dark ,B,B,3.428
Dark ,B,B,3.777
Dark ,B,B,0.933
Dark ,B,B,1.638
Dark ,B,B,0.573
Dark ,B,B,0.377
Dark ,B,B,1.685
Dark ,B,B,1.743
Dark ,B,B,1.559
Dark ,B,B,1.103
Dark ,B,B,1.932
Dark ,B,B,1.091
Dark ,B,B,0.894
Dark ,B,B,1.779
Dark ,B,B,1.829
Dark ,B,B,1.697
Dark ,B,B,2.545
Dark ,B,B,1.601
Dark ,B,B,1.256
Dark ,B,B,0.717
Dark ,B,B,0.596
Dark ,B,B,0.716
Dark ,B,B,0.711
Dark ,B,B,1.013
Dark ,B,B,0.478
Dark ,B,B,0.284
Dark ,B,B,1.158
Dark ,B,B,1.986
Dark ,B,B,0.596
Dark ,B,B,0.679
Dark ,B,B,0.614
Dark ,B,B,1.626
Dark ,B,B,0.927
Dark ,B,B,0.694
Dark ,B,B,1.085
Dark ,B,B,1.07
Dark ,B,B,0.569
Dark ,B,B,1.333
Dark ,B,B,0.708
Dark ,B,B,0.679
Dark ,B,B,1.43
Dark ,B,B,1.099
Dark ,B,B,2.316
Dark ,B,B,0.942
Dark ,B,B,1.387
Dark ,B,B,0.893
Dark ,B,B,0.533
Dark ,B,B,2.391
Dark ,B,B,1.341
Dark ,B,B,0.562
Dark ,B,B,0.533
Dark ,B,B,0.444
Dark ,B,B,0.717
Dark ,B,B,0.333
Dark ,B,B,0.444
Dark ,B,B,0.32
Dark ,B,B,0.957
Dark ,B,B,0.298
Dark ,B,B,0.799
Dark ,B,B,0.562
Dark ,B,B,0.377
Dark ,B,B,0.596
Red light,0mM,C,2.823
Red light,0mM,C,2.653
Red light,0mM,C,0.97
Red light,0mM,C,0.927
Red light,0mM,C,3.397
Red light,0mM,C,1.478
Red light,0mM,C,0.266
Red light,0mM,C,1.829
Red light,0mM,C,0.993
Red light,0mM,C,0.925
Red light,0mM,C,2.106
Red light,0mM,C,2.528
Red light,0mM,C,3.22
Red light,0mM,C,4.776
Red light,0mM,C,1.981
Red light,0mM,C,2.146
Red light,0mM,C,2.526
Red light,0mM,C,2.45
Red light,0mM,C,4.143
Red light,0mM,C,4.181
Red light,0mM,C,2.514
Red light,0mM,C,1.812
Red light,0mM,C,1.518
Red light,0mM,C,0.799
Red light,0mM,C,1.579
Red light,0mM,C,1.87
Red light,0mM,C,3.398
Red light,0mM,C,2.589
Red light,0mM,C,3.957
