Treatment,treat,Group,Aperture
Pre,A,A,6.238
Pre,A,A,1.973
Pre,A,A,1.559
Pre,A,A,4.264
Pre,A,A,3.658
Pre,A,A,5.621
Pre,A,A,2.095
Pre,A,A,4.533
Pre,A,A,1.633
Pre,A,A,1.528
Pre,A,A,1.833
Pre,A,A,1.066
Pre,A,A,4.744
Pre,A,A,2.804
Pre,A,A,3.567
Pre,A,A,3.922
Pre,A,A,0.437
Pre,A,A,1.983
Pre,A,A,2.983
Pre,A,A,3.969
Pre,A,A,2.819
Pre,A,A,2.783
Pre,A,A,1.601
Pre,A,A,1.819
Pre,A,A,2.87
Pre,A,A,2.892
Pre,A,A,2.732
Pre,A,A,3.536
Pre,A,A,2.994
Pre,A,A,3.267
Pre,A,A,1.339
Pre,A,A,1.163
Pre,A,A,1.68
Pre,A,A,2.425
Pre,A,A,2.848
Pre,A,A,1.899
Pre,A,A,1.842
Pre,A,A,3.045
Pre,A,A,3.028
Pre,A,A,4.429
Pre,A,A,2.121
Pre,A,A,3.21
Pre,A,A,2.688
Pre,A,A,3.006
Pre,A,A,2.978
Pre,A,A,4.665
Pre,A,A,2.871
Pre,A,A,1.939
Pre,A,A,2.966
Pre,A,A,3.571
Pre,A,A,4.171
Pre,A,A,1.266
Pre,A,A,0.81
Pre,A,A,2.747
Pre,A,A,3.965
Pre,A,A,2.539
Pre,A,A,2.047
Pre,A,A,2.599
Pre,A,A,3.037
Pre,A,A,1.616
Pre,A,A,1.479
Pre,A,A,1.887
Pre,A,A,2.463
Pre,A,A,3.222
Pre,A,A,1.583
Pre,A,A,6.334
Pre,A,A,0.736
Pre,A,A,2.848
Pre,A,A,1.973
Pre,A,A,1.818
Pre,A,A,2.178
Pre,A,A,3.382
Pre,A,A,3.868
Pre,A,A,0.669
Pre,A,A,4.833
Pre,A,A,1.438
Pre,A,A,0.537
Pre,A,A,1.779
Pre,A,A,3.922
Pre,A,A,0.708
Pre,A,A,2.466
Pre,A,A,2.709
Pre,A,A,4.523
Dark ,B,B,0.266
Dark ,B,B,1.39
Dark ,B,B,0.126
Dark ,B,B,0.32
Dark ,B,B,0.133
Dark ,B,B,0.397
Dark ,B,B,0.388
Dark ,B,B,0.133
Dark ,B,B,0.14
Dark ,B,B,0.251
Dark ,B,B,0.6
Dark ,B,B,0.805
Dark ,B,B,1.518
Dark ,B,B,1.908
Dark ,B,B,1.487
Dark ,B,B,1.472
Dark ,B,B,2.903
Dark ,B,B,2.494
Dark ,B,B,0.838
Dark ,B,B,2.943
Dark ,B,B,0.81
Dark ,B,B,1.017
Dark ,B,B,3.58
Dark ,B,B,0.732
Dark ,B,B,0.759
Dark ,B,B,2.214
Dark ,B,B,0.178
Dark ,B,B,1.435
Dark ,B,B,0.916
Dark ,B,B,2.672
Dark ,B,B,0.251
Dark ,B,B,0.333
Dark ,B,B,1.455
Dark ,B,B,0.366
Dark ,B,B,0.366
Dark ,B,B,0.88
Dark ,B,B,1.487
Dark ,B,B,0.133
Dark ,B,B,0.961
Dark ,B,B,0.063
Dark ,B,B,0.48
Dark ,B,B,0.141
Dark ,B,B,0.074
Dark ,B,B,0.4
Dark ,B,B,0.914
Dark ,B,B,0.333
Dark ,B,B,1.281
Dark ,B,B,1.228
Dark ,B,B,2.562
Dark ,B,B,0.178
Dark ,B,B,0.199
Dark ,B,B,0.067
Dark ,B,B,0.126
Dark ,B,B,0.27
Dark ,B,B,0.266
Dark ,B,B,0.843
Dark ,B,B,0.377
Dark ,B,B,0.862
Dark ,B,B,3.729
Dark ,B,B,0.934
Dark ,B,B,0.64
Dark ,B,B,0.188
Dark ,B,B,1.084
"Red light, PH=6.5",0mM,C,3.571
"Red light, PH=6.5",0mM,C,2.504
"Red light, PH=6.5",0mM,C,4.888
"Red light, PH=6.5",0mM,C,3.571
"Red light, PH=6.5",0mM,C,3.093
"Red light, PH=6.5",0mM,C,3.393
"Red light, PH=6.5",0mM,C,2.327
"Red light, PH=6.5",0mM,C,2.323
"Red light, PH=6.5",0mM,C,1.248
"Red light, PH=6.5",0mM,C,1.867
"Red light, PH=6.5",0mM,C,1.752
"Red light, PH=6.5",0mM,C,0.478
"Red light, PH=6.5",0mM,C,1.165
"Red light, PH=6.5",0mM,C,1.243
"Red light, PH=6.5",0mM,C,3.434
"Red light, PH=6.5",0mM,C,0.222
"Red light, PH=6.5",0mM,C,2.11
"Red light, PH=6.5",0mM,C,1.405
"Red light, PH=6.5",0mM,C,0.283
"Red light, PH=6.5",0mM,C,0.628
"Red light, PH=6.5",0mM,C,0.149
"Red light, PH=6.5",0mM,C,2.264
"Red light, PH=6.5",0mM,C,0.732
"Red light, PH=6.5",0mM,C,6.534
"Red light, PH=6.5",0mM,C,4.22
"Red light, PH=6.5",0mM,C,1.895
"Red light, PH=6.5",0mM,C,3.9
"Red light, PH=6.5",0mM,C,2.998
"Red light, PH=6.5",0mM,C,4.772
"Red light, PH=6.5",0mM,C,0.947
"Red light, PH=6.5",0mM,C,2.834
"Red light, PH=6.5",0mM,C,1.574
"Red light, PH=6.5",0mM,C,3.072
"Red light, PH=6.5",0mM,C,1.288
"Red light, PH=6.5",0mM,C,1.239
"Red light, PH=6.5",0mM,C,1.511
"Red light, PH=6.5",0mM,C,0.711
"Red light, PH=6.5",0mM,C,3.711
"Red light, PH=6.5",0mM,C,0.894
"Red light, PH=6.5",0mM,C,1.424
"Red light, PH=6.5",0mM,C,2.266
"Red light, PH=6.5",0mM,C,3.329
