Experiment,Treatment,treat,Group,Aperture,Treatment
EXP1,Dark,B,B,1.388764368,Dark
EXP1,"Red light, pH=6.5",0mM,C,2.183704762,0mM High
EXP1,"Red light, pH=6.5",0.4mM,D,2.48119403,0.4mM High
EXP1,"Red light, pH=6.5",1mM,E,2.772435185,1mM High
EXP1,"Red light, pH=6.5",30mM,F,2.280174603,30mM High
EXP1,"Red light, pH=6.5",50mM,G,2.492233871,50mM High
EXP1,EXP1,100mM,H,1.355087379,100mM High
EXP1,EXP1,0mM,C,2.135926606,0mM Low
EXP1,EXP1,0.4mM,D,3.1247,0.4mM Low
EXP1,EXP1,1mM,E,3.779584158,1mM Low
EXP1,EXP1,30mM,F,3.342321429,30mM Low
EXP1,EXP1,50mM,G,2.492233871,50mM Low
EXP1,EXP1,100mM,H,1.799784615,100mM Low
EXP2,EXP2,B,B,0.925333333,Dark
EXP2,"Red light, pH=6.5",0mM,C,2.278818182,0mM High
EXP2,"Red light, pH=6.5",0.4mM,D,2.912348315,0.4mM High
EXP2,"Red light, pH=6.5",1mM,E,3.434614583,1mM High
EXP2,"Red light, pH=6.5",30mM,F,2.693186813,30mM High
EXP2,"Red light, pH=6.5",50mM,G,2.290061404,50mM High
EXP2,"Red light, pH=6.5",100mM,H,1.379038462,100mM High
EXP2,EXP2,0mM,C,2.647915094,0mM Low
EXP2,EXP2,0.4mM,D,5.083457627,0.4mM Low
EXP2,EXP2,1mM,E,3.139961165,1mM Low
EXP2,EXP2,30mM,F,2.171958333,30mM Low
EXP2,EXP2,50mM,G,1.21342,50mM Low
EXP2,EXP2,100mM,H,1.055685393,100mM Low
EXP2,EXP3,B,B,0.72211,Dark
EXP3,"Red light, pH=6.5",0mM,C,1.626172727,0mM High
EXP3,"Red light, pH=6.5",0.4mM,D,2.6124,0.4mM High
EXP3,"Red light, pH=6.5",1mM,E,1.987960784,1mM High
EXP3,"Red light, pH=6.5",30mM,F,2.220552846,30mM High
EXP3,"Red light, pH=6.5",50mM,G,1.173645161,50mM High
EXP3,"Red light, pH=6.5",100mM,H,1.130902913,100mM High
EXP3,EXP3,0mM,C,1.932925466,0mM Low
EXP3,EXP3,0.4mM,D,2.090435644,0.4mM Low
EXP3,EXP3,1mM,E,2.469325203,1mM Low
EXP3,EXP3,30mM,F,1.293263889,30mM Low
EXP3,EXP3,50mM,G,1.986751825,50mM Low
EXP3,EXP3,100mM,H,1.526368,100mM Low
EXP4,EXP4,B,B,0.593094595,Dark
EXP4,"Red light, pH=6.5",0mM,C,1.624011765,0mM High
EXP4,"Red light, pH=6.5",0.4mM,D,2.299708791,0.4mM High
EXP4,"Red light, pH=6.5",1mM,E,3.231572289,1mM High
EXP4,"Red light, pH=6.5",30mM,F,3.358075342,30mM High
EXP4,"Red light, pH=6.5",50mM,G,1.868569892,50mM High
EXP4,"Red light, pH=6.5",100mM,H,1.479978261,100mM High
EXP4,EXP4,0mM,C,2.795732484,0mM Low
EXP4,EXP4,0.4mM,D,3.541227778,0.4mM Low
EXP4,EXP4,1mM,E,3.0398,1mM Low
EXP4,EXP4,30mM,F,2.396511628,30mM Low
EXP4,EXP4,50mM,G,2.046746479,50mM Low
EXP4,EXP4,100mM,H,1.323314607,100mM Low
