Treatment,Group,Letter,Aperture
Dark,B,B,0.67709375
pH=5.5,0mM,C,0.72753125
pH=5.5,0.4mM,D,1.195402985
pH=5.5,1mM,E,1.646921569
pH=5.5,30mM,F,0.8625
pH=5.5,50mM,G,0.815772727
pH=5.5,100mM,H,0.612323529
Dark,B,B,0.321651515
pH=5.5,0mM,C,0.966433333
pH=5.5,0.4mM,D,1.499846154
pH=5.5,1mM,E,1.670633333
pH=5.5,30mM,F,0.86740625
pH=5.5,50mM,G,0.712623188
pH=5.5,100mM,H,0.404283019
Dark,B,B,0.413673077
pH=5.5,0mM,C,0.946215686
pH=5.5,0.4mM,D,1.342632353
pH=5.5,1mM,E,1.314177419
pH=5.5,30mM,F,0.7126
pH=5.5,50mM,G,0.53280315
pH=5.5,100mM,H,0.6482
