Day,Treatment,Group,VPD,Sugar,Time,a,da,di,Pdi,Pda,gsw
11,100 mM,d,Low VPD,Sucrose,1,-3.95564438,402.2639048,1012.410792,97.74090102,38.83565525,0.010100828
11,100 mM,d,Low VPD,Sucrose,2,-3.229842245,402.0238722,742.4637554,71.68229183,38.81400583,0.014608658
11,100 mM,d,Low VPD,Sucrose,3,-3.21662425,402.0835819,762.0107545,73.56902788,38.81952856,0.013779643
11,100 mM,d,Low VPD,Sucrose,4,-3.180115784,402.084227,759.4824435,73.32768127,38.82104754,0.013716578
11,100 mM,d,Low VPD,Sucrose,5,-3.366749006,402.1257755,831.2652318,80.25830253,38.8250716,0.012145624
11,100 mM,d,Low VPD,Sucrose,6,-3.303286732,402.1370658,853.8295625,82.44128443,38.82823654,0.01133305
11,100 mM,d,Low VPD,Sucrose,7,-3.301887229,402.1603884,805.8101913,77.80495829,38.83057397,0.012646341
11,100 mM,d,Low VPD,Sucrose,8,-3.28466316,402.1298077,841.6286345,81.26661963,38.82915669,0.011574696
11,100 mM,d,Low VPD,Sucrose,9,-3.26034895,402.19284,843.9161232,81.48779118,38.83538334,0.011432516
11,100 mM,d,Low VPD,Sucrose,10,-3.323327466,402.1444852,870.3787667,84.04305598,38.83073987,0.01100628
11,100 mM,d,Low VPD,Sucrose,11,-2.144378998,401.6237428,743.4516122,71.7869829,38.78040787,0.009630403
11,100 mM,d,Low VPD,Sucrose,12,0.858504324,399.5840964,261.5972507,25.25943954,38.58324313,0.010628849
11,100 mM,d,Low VPD,Sucrose,13,0.663664698,399.5933223,281.4747798,27.1792741,38.58482967,0.009727479
11,100 mM,d,Low VPD,Sucrose,14,0.832933567,399.7257739,257.0171608,24.81800531,38.59818679,0.009942148
11,100 mM,d,Low VPD,Sucrose,15,0.792285577,399.7146449,262.5360285,25.35096711,38.59718939,0.009867379
11,100 mM,d,Low VPD,Sucrose,16,0.508349775,399.4837417,305.0576794,29.45669764,38.57457979,0.009540755
11,100 mM,d,Low VPD,Sucrose,17,0.796396001,399.6312255,285.3477605,27.55439967,38.59009964,0.012099969
11,100 mM,d,Low VPD,Sucrose,18,1.307192784,399.607935,215.0490767,20.76515651,38.58617501,0.011862055
11,100 mM,d,Low VPD,Sucrose,19,0.678345651,399.6205159,284.9598918,27.51560158,38.58718092,0.010270158
11,100 mM,d,Low VPD,Sucrose,20,1.436112414,399.5405478,166.1416816,16.04227422,38.5787538,0.010176487
11,100 mM,d,Low VPD,Sucrose,21,0.918404898,399.17129,246.6284529,23.81358883,38.54259662,0.010202431
11,100 mM,d,Low VPD,Sucrose,22,1.122346067,399.2623867,217.8217854,21.03153163,38.55031992,0.010364137
11,100 mM,d,Low VPD,Sucrose,23,0.861409335,398.8934513,301.2705483,29.08884727,38.51471956,0.01558569
11,100 mM,d,Low VPD,Sucrose,24,0.933363986,398.9638383,246.9126754,23.84051841,38.52173534,0.01040506
11,100 mM,d,Low VPD,Sucrose,25,1.237526404,399.0562898,217.5985952,21.01044965,38.53127855,0.011428713
11,100 mM,d,Low VPD,Sucrose,26,1.530571828,399.0439026,181.6989967,17.54454506,38.53099829,0.011686735
11,100 mM,d,Low VPD,Sucrose,27,1.409975103,399.0179995,199.4861666,19.26222881,38.52886712,0.011777626
11,100 mM,d,Low VPD,Sucrose,28,1.557495855,399.0449026,228.5878134,22.07245875,38.53180983,0.015376364
11,100 mM,d,Low VPD,Sucrose,29,1.813688525,399.0498057,222.9541136,21.52847569,38.53229664,0.017304689
11,100 mM,d,Low VPD,Sucrose,30,1.539229636,398.8846768,187.017258,18.05827744,38.51607193,0.012072069
11,100 mM,d,Low VPD,Sucrose,31,2.031270956,398.7410315,151.766212,14.65450015,38.50231502,0.013571271
11,100 mM,d,Low VPD,Sucrose,32,2.237729656,398.7737733,166.038971,16.03278942,38.50575499,0.015910795
11,100 mM,d,Low VPD,Sucrose,33,1.774739014,398.9757735,209.9696251,20.27517006,38.52605659,0.015702416
11,100 mM,d,Low VPD,Sucrose,34,1.628274742,398.5750639,255.6035709,24.68151067,38.48707847,0.019406033
11,100 mM,d,Low VPD,Sucrose,35,2.035239277,398.3015153,206.7528194,19.96423201,38.46034064,0.017758893
11,100 mM,d,Low VPD,Sucrose,36,1.615520749,398.50158,248.0437659,23.95082738,38.47886488,0.018219812
11,100 mM,d,Low VPD,Sucrose,37,2.695414911,398.2837731,164.3608044,15.87090882,38.4588374,0.01906732
11,100 mM,d,Low VPD,Sucrose,38,3.167147802,398.2586439,199.3046325,19.24470354,38.45555138,0.026575681
11,100 mM,d,Low VPD,Sucrose,39,2.754943247,397.9825151,203.4684169,19.64688494,38.42914199,0.023664455
11,100 mM,d,Low VPD,Sucrose,40,2.702289574,397.7613538,212.5693517,20.52510684,38.40673276,0.024444986
