Treatment,Group,Letter,Aperture
Pre,Pre,A,1.493
Pre,Pre,A,2.944
Pre,Pre,A,2.144
Pre,Pre,A,1.947
Pre,Pre,A,1.936
Pre,Pre,A,2.844
Pre,Pre,A,2.834
Pre,Pre,A,2.707
Pre,Pre,A,1.745
Pre,Pre,A,2.028
Pre,Pre,A,4.869
Pre,Pre,A,3.101
Pre,Pre,A,2.443
Pre,Pre,A,2.398
Pre,Pre,A,1.949
Pre,Pre,A,1.923
Pre,Pre,A,3.298
Pre,Pre,A,2.097
Pre,Pre,A,1.146
Pre,Pre,A,1.721
Pre,Pre,A,1.508
Pre,Pre,A,0.956
Pre,Pre,A,1.333
Pre,Pre,A,3.942
Dark,Dark,B,0.097
Dark,Dark,B,0.089
Dark,Dark,B,0.099
Dark,Dark,B,0.111
Dark,Dark,B,0.358
Dark,Dark,B,0.569
Dark,Dark,B,0.099
Dark,Dark,B,0.12
Dark,Dark,B,0.466
Dark,Dark,B,0.251
Dark,Dark,B,0.819
Dark,Dark,B,0.14
Dark,Dark,B,0.397
Dark,Dark,B,0.222
Dark,Dark,B,0.222
Dark,Dark,B,0.188
Dark,Dark,B,0.19
Dark,Dark,B,0.167
Dark,Dark,B,0.692
Dark,Dark,B,0.063
Dark,Dark,B,0.099
Dark,Dark,B,1.368
Dark,Dark,B,0.2
Dark,Dark,B,0.44
Dark,Dark,B,0.388
Dark,Dark,B,0.53
Dark,Dark,B,0.656
Dark,Dark,B,0.203
Dark,Dark,B,0.126
Dark,Dark,B,0.497
Dark,Dark,B,0.307
Dark,Dark,B,0.213
Dark,Dark,B,0.784
Dark,Dark,B,0.269
Dark,Dark,B,0.397
Dark,Dark,B,0.094
Dark,Dark,B,0.141
Dark,Dark,B,0.402
Dark,Dark,B,0.067
Dark,Dark,B,0.16
Dark,Dark,B,0.099
0mM,Control,C,0.382
0mM,Control,C,1.479
0mM,Control,C,0.48
0mM,Control,C,0.862
0mM,Control,C,1.681
0mM,Control,C,0.933
0mM,Control,C,1.51
0mM,Control,C,0.569
0mM,Control,C,0.867
0mM,Control,C,0.409
0mM,Control,C,0.751
0mM,Control,C,1.399
0mM,Control,C,1.499
0mM,Control,C,1.658
0mM,Control,C,0.34
0mM,Control,C,0.916
0mM,Control,C,0.76
0mM,Control,C,1.485
0mM,Control,C,1.356
0mM,Control,C,1.373
0mM,Control,C,1.757
0mM,Control,C,1.603
0mM,Control,C,0.717
0mM,Control,C,0.402
0mM,Control,C,0.691
0mM,Control,C,1.519
0mM,Control,C,1.201
