Genotype ,Treatment,Letter,Aperture
A,Pre,A,1.116118421
B,Dark,B,0.216081633
DCMU,0mM,C,0.3734
DCMU,1mM,D,1.122977778
DCMU,100mM,E,0.252214286
Control,0mM,C,1.100893491
Control,1mM,D,1.60025
Control,100mM,E,0.300305556
A,Pre,A,0.81895
B,Dark,B,0.240924528
Control,0mM,C,0.881933333
Control,1mM,D,1.549851852
Control,100mM,E,0.236871795
DCMU,0mM,C,0.248369565
DCMU,1mM,D,0.808223881
DCMU,100mM,E,0.278594595
Control,0mM,C,0.803871795
Control,1mM,D,1.491633333
Control,100mM,E,0.274108696
DCMU,0mM,C,0.346304348
DCMU,1mM,D,1.028977273
DCMU,100mM,E,0.311814286
A,Pre,A,0.81895
B,Dark,B,0.240924528
