Treatment,Letter,group,Aperture
Dark,A,A,0.304709677
0 mM,B,Control,0.660136364
0 mM,B,NAG,0.69837931
1 mM,C,Control,1.742214286
1 mM,C,NAG,1.910921053
100 mM,D,Control,0.600763158
100 mM,D,NAG,0.603923077
Dark,A,A,0.36747619
0 mM,B,Control,0.789043478
0 mM,B,NAG,0.7386
1 mM,C,Control,1.872659091
1 mM,C,NAG,1.6498
100 mM,D,Control,0.174235294
100 mM,D,NAG,0.212583333
Dark,A,A,0.292639123
0 mM,B,Control,0.998744681
0 mM,B,NAG,0.868086957
1 mM,C,Control,1.268142857
1 mM,C,NAG,1.437085714
100 mM,D,Control,0.432971429
100 mM,D,NAG,0.788153846
