Genotype ,Treatment,Letter,Aperture
Col-0,Pre,A,0.444
Col-0,Pre,A,0.866
Col-0,Pre,A,0.675
Col-0,Pre,A,0.666
Col-0,Pre,A,1.779
Col-0,Pre,A,0.717
Col-0,Pre,A,0.596
Col-0,Pre,A,0.471
Col-0,Pre,A,1.554
Col-0,Pre,A,0.669
Col-0,Pre,A,0.881
Col-0,Pre,A,0.777
Col-0,Pre,A,0.333
Col-0,Pre,A,0.314
Col-0,Pre,A,0.717
Col-0,Pre,A,0.699
Col-0,Pre,A,0.38
Col-0,Pre,A,0.48
Col-0,Pre,A,1.909
Col-0,Pre,A,0.44
Col-0,Pre,A,0.954
Col-0,Pre,A,0.916
Col-0,Pre,A,1.017
Col-0,Pre,A,0.546
Col-0,Pre,A,0.733
Col-0,Pre,A,1.127
Col-0,Pre,A,0.695
Col-0,Pre,A,0.622
Col-0,Pre,A,0.354
Col-0,Pre,A,1.085
Col-0,Pre,A,0.368
Col-0,Pre,A,0.601
Col-0,Pre,A,1.334
Col-0,Pre,A,1.479
Col-0,Pre,A,1.248
Col-0,Pre,A,0.581
Col-0,Pre,A,0.508
aha1-6,Pre,A,0.417
aha1-6,Pre,A,0.199
aha1-6,Pre,A,0.471
aha1-6,Pre,A,0.074
aha1-6,Pre,A,0.355
aha1-6,Pre,A,0.382
aha1-6,Pre,A,0.211
aha1-6,Pre,A,0.251
aha1-6,Pre,A,0.16
aha1-6,Pre,A,0.275
aha1-6,Pre,A,0.266
aha1-6,Pre,A,0.126
aha1-6,Pre,A,0.345
aha1-6,Pre,A,1.333
aha1-6,Pre,A,0.6
aha1-6,Pre,A,0.133
aha1-6,Pre,A,0.183
aha1-6,Pre,A,0.577
aha1-6,Pre,A,0.937
aha1-6,Pre,A,0.377
aha1-6,Pre,A,0.199
aha1-6,Pre,A,0.666
aha1-6,Pre,A,0.251
aha1-6,Pre,A,0.126
aha1-6,Pre,A,0.133
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.167
aha1-6,Pre,A,0.149
aha1-6,Pre,A,0.24
aha1-6,Pre,A,0.298
aha1-6,Pre,A,0.14
aha1-6,Pre,A,0.266
aha1-6,Pre,A,0.167
aha1-6,Pre,A,0.083
aha1-6,Pre,A,0.226
aha1-6,Pre,A,0.226
aha1-6,Pre,A,0.226
aha1-6,Pre,A,0.314
aha1-6,Pre,A,0.239
aha1-6,Pre,A,0.732
aha1-6,Pre,A,0.478
aha1-6,Pre,A,1.208
aha1-6,Pre,A,0.188
aha1-6,Pre,A,0.167
aha1-6,Pre,A,0.628
aha1-6,Pre,A,0.194
aha1-6,Pre,A,0.488
aha1-6,Pre,A,0.834
aha1-6,Pre,A,0.39
aha1-6,Pre,A,0.732
aha1-6,Pre,A,0.488
aha1-6,Pre,A,0.284
aha1-6,Pre,A,0.409
aha1-6,Pre,A,0.14
Col-0,Dark,B,0.311
Col-0,Dark,B,0.211
Col-0,Dark,B,0.133
Col-0,Dark,B,0.266
Col-0,Dark,B,0.2
Col-0,Dark,B,0.149
Col-0,Dark,B,0.24
Col-0,Dark,B,0.1
Col-0,Dark,B,0.24
Col-0,Dark,B,0.14
Col-0,Dark,B,0.089
Col-0,Dark,B,0.2
Col-0,Dark,B,0.133
Col-0,Dark,B,0.033
Col-0,Dark,B,0.266
Col-0,Dark,B,0.2
Col-0,Dark,B,0.067
Col-0,Dark,B,0.34
Col-0,Dark,B,0.099
Col-0,Dark,B,0.27
Col-0,Dark,B,0.5
Col-0,Dark,B,0.133
Col-0,Dark,B,0.133
Col-0,Dark,B,0.421
Col-0,Dark,B,0.167
Col-0,Dark,B,0.211
Col-0,Dark,B,0.507
Col-0,Dark,B,0.239
Col-0,Dark,B,0.444
Col-0,Dark,B,0.556
Col-0,Dark,B,0.596
Col-0,Dark,B,0.437
Col-0,Dark,B,0.716
Col-0,Dark,B,0.716
Col-0,Dark,B,0.2
Col-0,Dark,B,0.266
Col-0,Dark,B,0.266
Col-0,Dark,B,0.178
Col-0,Dark,B,0.194
Col-0,Dark,B,0.074
Col-0,Dark,B,0.133
Col-0,Dark,B,0.266
Col-0,Dark,B,0.133
Col-0,Dark,B,0.14
Col-0,Dark,B,0.311
Col-0,Dark,B,0.275
Col-0,Dark,B,0.366
Col-0,Dark,B,0.307
Col-0,Dark,B,0.24
Col-0,Dark,B,0.133
Col-0,Dark,B,0.266
Col-0,Dark,B,0.614
Col-0,Dark,B,0.488
