Genotype ,Treatment,Letter,Aperture
Col-0,Pre,A,2.312
Col-0,Pre,A,1.339
Col-0,Pre,A,1.216
Col-0,Pre,A,1.638
Col-0,Pre,A,1.865
Col-0,Pre,A,1.942
Col-0,Pre,A,0.755
Col-0,Pre,A,0.984
Col-0,Pre,A,0.944
Col-0,Pre,A,1.831
Col-0,Pre,A,1.571
Col-0,Pre,A,1.803
Col-0,Pre,A,0.875
Col-0,Pre,A,0.899
Col-0,Pre,A,1.643
Col-0,Pre,A,1.201
Col-0,Pre,A,2.668
Col-0,Pre,A,1.441
Col-0,Pre,A,1.604
Col-0,Pre,A,1.377
Col-0,Pre,A,0.879
Col-0,Pre,A,1.875
Col-0,Pre,A,2.571
Col-0,Pre,A,0.98
Col-0,Pre,A,1.267
Col-0,Pre,A,3.016
Col-0,Pre,A,1.173
Col-0,Pre,A,1.402
Col-0,Pre,A,1.066
Col-0,Pre,A,0.924
Col-0,Pre,A,1.332
Col-0,Pre,A,1.962
Col-0,Pre,A,1.472
Col-0,Pre,A,2.639
Col-0,Pre,A,1.936
Col-0,Pre,A,1.94
Col-0,Pre,A,1.968
Col-0,Pre,A,2.283
Col-0,Pre,A,1.874
Col-0,Pre,A,2.157
Col-0,Pre,A,1.8
Col-0,Pre,A,2.943
Col-0,Pre,A,1.465
Col-0,Pre,A,1.498
Col-0,Pre,A,1.264
Col-0,Pre,A,1.07
Col-0,Pre,A,2.601
Col-0,Pre,A,1.114
Col-0,Pre,A,1.007
Col-0,Pre,A,1.742
Col-0,Pre,A,1.741
Col-0,Pre,A,2.959
Col-0,Pre,A,1.688
Col-0,Pre,A,1.983
Col-0,Pre,A,1.084
Col-0,Pre,A,2.176
aha1-6,Pre,A,0.572
aha1-6,Pre,A,1.455
aha1-6,Pre,A,1.6
aha1-6,Pre,A,0.533
aha1-6,Pre,A,1.066
aha1-6,Pre,A,1.041
aha1-6,Pre,A,0.48
aha1-6,Pre,A,0.298
aha1-6,Pre,A,0.4
aha1-6,Pre,A,0.281
aha1-6,Pre,A,0.533
aha1-6,Pre,A,0.921
aha1-6,Pre,A,0.199
aha1-6,Pre,A,0.86
aha1-6,Pre,A,0.533
aha1-6,Pre,A,1.155
aha1-6,Pre,A,0.259
aha1-6,Pre,A,0.954
aha1-6,Pre,A,0.266
aha1-6,Pre,A,1.497
aha1-6,Pre,A,0.167
aha1-6,Pre,A,0.298
aha1-6,Pre,A,0.54
aha1-6,Pre,A,1.146
aha1-6,Pre,A,0.81
aha1-6,Pre,A,0.974
aha1-6,Pre,A,0.211
aha1-6,Pre,A,0.222
aha1-6,Pre,A,0.843
aha1-6,Pre,A,1.162
Col-0,Dark,B,0.281
Col-0,Dark,B,0.178
Col-0,Dark,B,0.199
Col-0,Dark,B,0.089
Col-0,Dark,B,0.298
Col-0,Dark,B,0.266
Col-0,Dark,B,0.24
Col-0,Dark,B,0.281
Col-0,Dark,B,0.359
Col-0,Dark,B,0.16
Col-0,Dark,B,0.16
Col-0,Dark,B,0.239
Col-0,Dark,B,0.266
Col-0,Dark,B,0.298
Col-0,Dark,B,0.427
Col-0,Dark,B,0.178
Col-0,Dark,B,0.405
Col-0,Dark,B,0.211
Col-0,Dark,B,2.22
Col-0,Dark,B,0.565
Col-0,Dark,B,0.666
Col-0,Dark,B,1.391
Col-0,Dark,B,0.562
Col-0,Dark,B,0.188
Col-0,Dark,B,0.4
Col-0,Dark,B,0.133
Col-0,Dark,B,0.4
Col-0,Dark,B,0.368
Col-0,Dark,B,1.52
Col-0,Dark,B,0.4
Col-0,Dark,B,0.211
aha1-6,Dark,B,0.551
aha1-6,Dark,B,0.421
aha1-6,Dark,B,0.347
aha1-6,Dark,B,0.377
aha1-6,Dark,B,0.549
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.094
aha1-6,Dark,B,0.183
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.34
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.333
aha1-6,Dark,B,0.764
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.298
aha1-6,Dark,B,0.419
aha1-6,Dark,B,0.799
aha1-6,Dark,B,0.447
aha1-6,Dark,B,0.6
aha1-6,Dark,B,0.298
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.596
aha1-6,Dark,B,0.348
aha1-6,Dark,B,0.577
aha1-6,Dark,B,0.27
aha1-6,Dark,B,0.226
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.549
aha1-6,Dark,B,0.348
aha1-6,Dark,B,0.338
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.34
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.397
aha1-6,Dark,B,0.094
aha1-6,Dark,B,0.094
aha1-6,Dark,B,0.047
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.2
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.333
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.105
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.444
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.239
aha1-6,Dark,B,0.188
aha1-6,Dark,B,0.188
aha1-6,Dark,B,0.48
aha1-6,Dark,B,0.32
aha1-6,Dark,B,0.275
aha1-6,Dark,B,0.488
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.444
aha1-6,Dark,B,0.183
aha1-6,Dark,B,0.444
aha1-6,Dark,B,0.222
aha1-6,Dark,B,0.067
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.044
aha1-6,Dark,B,0.251
aha1-6,Dark,B,0.188
aha1-6,Dark,B,0.4
aha1-6,Dark,B,0.48
aha1-6,Dark,B,0.281
aha1-6,Dark,B,0.453
aha1-6,Dark,B,0.149
aha1-6,Dark,B,0.105
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.359
aha1-6,Dark,B,0.067
aha1-6,Dark,B,0.366
Col-0,Mock,C,0.266
Col-0,Mock,C,0.679
