Genotype ,Treatment,Letter,Aperture
Col-0,Pre,A,0.444
Col-0,Pre,A,0.656
Col-0,Pre,A,1.669
Col-0,Pre,A,1.792
Col-0,Pre,A,0.944
Col-0,Pre,A,0.906
Col-0,Pre,A,0.666
Col-0,Pre,A,1.314
Col-0,Pre,A,0.799
Col-0,Pre,A,0.533
Col-0,Pre,A,0.251
Col-0,Pre,A,0.266
Col-0,Pre,A,0.421
Col-0,Pre,A,0.533
Col-0,Pre,A,0.676
Col-0,Pre,A,0.942
Col-0,Pre,A,0.471
Col-0,Pre,A,0.676
Col-0,Pre,A,0.732
Col-0,Pre,A,0.573
Col-0,Pre,A,0.183
Col-0,Pre,A,0.266
Col-0,Pre,A,0.478
Col-0,Pre,A,0.716
Col-0,Pre,A,2.228
Col-0,Pre,A,0.188
Col-0,Pre,A,1.066
Col-0,Pre,A,0.711
Col-0,Pre,A,0.596
Col-0,Pre,A,1.099
Col-0,Pre,A,0.397
Col-0,Pre,A,0.4
aha1-6,Pre,A,0.712
aha1-6,Pre,A,0.427
aha1-6,Pre,A,1.332
aha1-6,Pre,A,0.584
aha1-6,Pre,A,0.533
aha1-6,Pre,A,0.759
aha1-6,Pre,A,1.199
aha1-6,Pre,A,0.471
aha1-6,Pre,A,0.569
aha1-6,Pre,A,0.888
aha1-6,Pre,A,1.201
aha1-6,Pre,A,0.368
aha1-6,Pre,A,0.266
aha1-6,Pre,A,0.533
aha1-6,Pre,A,0.199
aha1-6,Pre,A,0.4
aha1-6,Pre,A,0.266
aha1-6,Pre,A,0.067
aha1-6,Pre,A,0.251
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.888
aha1-6,Pre,A,0.502
aha1-6,Pre,A,0.533
aha1-6,Pre,A,0.533
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.366
aha1-6,Pre,A,0.4
aha1-6,Pre,A,0.355
aha1-6,Pre,A,0.355
aha1-6,Pre,A,0.266
aha1-6,Pre,A,0.377
aha1-6,Pre,A,0.133
aha1-6,Pre,A,0.298
aha1-6,Pre,A,0.283
aha1-6,Pre,A,0.444
aha1-6,Pre,A,0.199
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.211
aha1-6,Pre,A,0.4
aha1-6,Pre,A,0.355
aha1-6,Pre,A,0.533
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.199
aha1-6,Pre,A,0.355
aha1-6,Pre,A,0.298
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.178
aha1-6,Pre,A,0.266
aha1-6,Pre,A,0.188
aha1-6,Pre,A,0.421
aha1-6,Pre,A,0.266
aha1-6,Pre,A,1.099
aha1-6,Pre,A,0.211
Col-0,Dark,B,0.133
Col-0,Dark,B,0.126
Col-0,Dark,B,0.397
Col-0,Dark,B,0.549
Col-0,Dark,B,0.6
Col-0,Dark,B,0.4
Col-0,Dark,B,0.2
Col-0,Dark,B,0.188
Col-0,Dark,B,0.199
Col-0,Dark,B,0.32
Col-0,Dark,B,0.266
Col-0,Dark,B,0.2
Col-0,Dark,B,0.089
Col-0,Dark,B,0.178
Col-0,Dark,B,0.355
Col-0,Dark,B,0.366
Col-0,Dark,B,0.133
Col-0,Dark,B,0.711
Col-0,Dark,B,0.622
Col-0,Dark,B,0.4
Col-0,Dark,B,0.298
Col-0,Dark,B,0.549
Col-0,Dark,B,1.49
Col-0,Dark,B,0.562
Col-0,Dark,B,0.894
Col-0,Dark,B,0.4
