Genotype ,Treatment,Letter,Aperture,,,,,,
A,Dark,B,0.273015385,,,,,,
Col-0,0mM,D,0.637021739,,,,,,
Col-0,0.4mM,E,1.226357143,,,,,,
Col-0,1mM,F,1.496753623,,,,,,
Col-0,30mM,G,0.929758065,,,,,,
Col-0,50mM,H,0.552111111,,,,,,
Col-0,100mM,I,0.755755556,,,,,,
B,Dark,B,0.183269231,,,,,,
Taha1-6,0mM,D,0.3322,,,,,,
Taha1-6,0.4mM,E,0.751727273,,,,,,
Taha1-6,1mM,F,1.010125,,,,,,
Taha1-6,30mM,G,0.953717949,,,,,,
Taha1-6,50mM,H,0.565487179,,,,,,
Taha1-6,100mM,I,0.533678571,,,,,,
A,Dark,B,0.437387097,,,,,,
Col-0,0mM,D,0.944909091,,,,,,
Col-0,0.4mM,E,1.379662162,,,,,,
Col-0,1mM,F,1.632279412,,,,,,
Col-0,30mM,G,0.926882353,,,,,,
Col-0,50mM,H,0.663018182,,,,,,
Col-0,100mM,I,0.480237288,,,,,,
B,Dark,B,0.286592105,,,,,,
Taha1-6,0mM,D,0.318192982,,,,,,
Taha1-6,0.4mM,E,0.550212766,,,,,,
Taha1-6,1mM,F,0.773780488,,,,,,
Taha1-6,30mM,G,0.732169231,,,,,0.273015385,0.000101578
Taha1-6,50mM,H,0.5391,,,,,0.437387097,
Taha1-6,100mM,I,0.288196429,,,,,0.381909091,
A,Dark,B,0.381909091,,,,,1.496753623,
Col-0,0mM,D,0.827792453,,,,,1.632279412,
Col-0,0.4mM,E,1.250846154,,,,,1.439392157,
Col-0,1mM,F,1.439392157,,,,,,
Col-0,30mM,G,0.743125,,,,,,
Col-0,50mM,H,0.355375,,,,,,
Col-0,100mM,I,0.345461538,,,,,,
B,Dark,B,0.315931818,,,,,,
Taha1-6,0mM,D,0.385283582,,,,,,
Taha1-6,0.4mM,E,0.710276923,,,,,,
Taha1-6,1mM,F,0.879915663,,,,,,
Taha1-6,30mM,G,0.707924242,,,,,,
Taha1-6,50mM,H,0.52445,,,,,,
Taha1-6,100mM,I,0.305254237,,,,,,
