Group,Treatment ,Letter,Value,pH,
A,Mock,A,1,pH 6.5,
A,Mock,A,1,pH 6.5,
A,Mock,A,1,pH 6.5,
A,Mock,A,1,pH 6.5,
A,Mock,A,1,pH 6.5,
B,Mock,A,0.752216005,pH 5.5,
B,Mock,A,0.936738082,pH 5.5,
B,Mock,A,0.658693203,pH 5.5,
B,Mock,A,0.859112761,pH 5.5,
B,Mock,A,1.048895545,pH 5.5,
A,Mannitol,B,0.99980477,pH 6.5,0.023276508
A,Mannitol,B,0.526014712,pH 6.5,
A,Mannitol,B,0.764985954,pH 6.5,
B,Mannitol,B,0.898349581,pH 5.5,
B,Mannitol,B,1.087232442,pH 5.5,
B,Mannitol,B,1.165652943,pH 5.5,
B,Mannitol,B,1.38202177,pH 5.5,
B,Mannitol,B,1.338500019,pH 5.5,
A,Sucrose,C,0.806736824,pH 6.5,0.124099711
A,Sucrose,C,1.143021158,pH 6.5,
A,Sucrose,C,1.096822983,pH 6.5,
A,Sucrose,C,1.032801011,pH 6.5,
A,Sucrose,C,1.686437315,pH 6.5,
B,Sucrose,C,1.455832199,pH 5.5,
B,Sucrose,C,1.634749759,pH 5.5,
B,Sucrose,C,1.549996801,pH 5.5,
B,Sucrose,C,2.189837145,pH 5.5,
B,Sucrose,C,2.809314245,pH 5.5,
