Treatment,Time,Value
Mannitol,0,1
Mannitol,5,0.895110504
Mannitol,15,1.113614264
Mannitol,30,1.079600961
Mannitol,60,1.265559127
Mannitol,0,1
Mannitol,5,1.504088358
Mannitol,15,1.576192624
Mannitol,30,1.199962072
Mannitol,60,0.938100988
Mannitol,0,1
Mannitol,5,1.024102293
Mannitol,15,1.072553734
Mannitol,30,0.92324031
Mannitol,60,0.610651388
Sucrose,0,1
Sucrose,5,0.981120721
Sucrose,15,1.714342174
Sucrose,30,2.408582746
Sucrose,60,2.468898261
Sucrose,0,1
Sucrose,5,1.187917202
Sucrose,15,1.574939941
Sucrose,30,1.654128344
Sucrose,60,1.733233462
Sucrose,0,1
Sucrose,5,0.860702082
Sucrose,15,1.113229743
Sucrose,30,1.562791961
Sucrose,60,1.683934906
