Genotype ,Treatment,Letter,Aperture
Col-0,Pre,A,3.439
Col-0,Pre,A,2.066
Col-0,Pre,A,1.63
Col-0,Pre,A,2.487
Col-0,Pre,A,1.257
Col-0,Pre,A,2.487
Col-0,Pre,A,2.587
Col-0,Pre,A,3.418
Col-0,Pre,A,3.253
Col-0,Pre,A,3.768
Col-0,Pre,A,2.336
Col-0,Pre,A,2.497
Col-0,Pre,A,4.22
Col-0,Pre,A,2.978
Col-0,Pre,A,1.826
Col-0,Pre,A,3.666
Col-0,Pre,A,0.91
Col-0,Pre,A,1.89
Col-0,Pre,A,1.394
Col-0,Pre,A,1.503
Col-0,Pre,A,2.294
Col-0,Pre,A,2.497
Col-0,Pre,A,1.599
Col-0,Pre,A,2.655
Col-0,Pre,A,1.559
slac1-3,Pre,A,3.37
slac1-3,Pre,A,2.934
slac1-3,Pre,A,3.488
slac1-3,Pre,A,4.951
slac1-3,Pre,A,2.986
slac1-3,Pre,A,4.522
slac1-3,Pre,A,3.493
slac1-3,Pre,A,5.675
slac1-3,Pre,A,4.024
slac1-3,Pre,A,4.491
slac1-3,Pre,A,3.489
slac1-3,Pre,A,4.068
slac1-3,Pre,A,2.943
slac1-3,Pre,A,2.518
slac1-3,Pre,A,1.638
slac1-3,Pre,A,3.122
slac1-3,Pre,A,3.063
slac1-3,Pre,A,2.194
slac1-3,Pre,A,1.876
slac1-3,Pre,A,3.373
slac1-3,Pre,A,3.277
slac1-3,Pre,A,4.311
slac1-3,Pre,A,3.079
slac1-3,Pre,A,4.993
slac1-3,Pre,A,2.494
slac1-3,Pre,A,2.994
slac1-3,Pre,A,3.387
slac1-3,Pre,A,4.697
slac1-3,Pre,A,3.483
slac1-3,Pre,A,3.373
slac1-3,Pre,A,2.851
slac1-3,Pre,A,5.43
slac1-3,Pre,A,4.447
slac1-3,Pre,A,4.114
slac1-3,Pre,A,2.702
slac1-3,Pre,A,2.702
slac1-3,Pre,A,3.39
slac1-3,Pre,A,3.17
slac1-3,Pre,A,3.685
slac1-3,Pre,A,3.432
slac1-3,Pre,A,3.91
slac1-3,Pre,A,3.105
slac1-3,Pre,A,3.869
slac1-3,Pre,A,2.909
Col-0,Dark,B,0.251
Col-0,Dark,B,0.355
Col-0,Dark,B,0.397
Col-0,Dark,B,0.222
Col-0,Dark,B,0.266
Col-0,Dark,B,0.444
Col-0,Dark,B,0
Col-0,Dark,B,0.562
Col-0,Dark,B,0.211
Col-0,Dark,B,0.126
Col-0,Dark,B,0.063
Col-0,Dark,B,0.188
Col-0,Dark,B,1.412
Col-0,Dark,B,0.405
Col-0,Dark,B,0.38
Col-0,Dark,B,0.816
Col-0,Dark,B,0.194
Col-0,Dark,B,0.405
Col-0,Dark,B,0.4
Col-0,Dark,B,0.133
Col-0,Dark,B,0.311
Col-0,Dark,B,0.113
Col-0,Dark,B,0.033
Col-0,Dark,B,0.12
Col-0,Dark,B,0.16
Col-0,Dark,B,0.2
Col-0,Dark,B,0.34
Col-0,Dark,B,0.377
Col-0,Dark,B,0.044
Col-0,Dark,B,0.188
Col-0,Dark,B,0.17
Col-0,Dark,B,0.203
Col-0,Dark,B,0.298
Col-0,Dark,B,0.24
Col-0,Dark,B,0.133
Col-0,Dark,B,0.4
Col-0,Dark,B,0.178
Col-0,Dark,B,0.12
Col-0,Dark,B,0.183
Col-0,Dark,B,0.183
Col-0,Dark,B,0.178
Col-0,Dark,B,0.137
slac1-3,Dark,B,1.356
slac1-3,Dark,B,1.411
slac1-3,Dark,B,0.911
slac1-3,Dark,B,1.356
slac1-3,Dark,B,0.899
slac1-3,Dark,B,1.158
slac1-3,Dark,B,0.953
slac1-3,Dark,B,0.889
slac1-3,Dark,B,1.435
slac1-3,Dark,B,0.668
slac1-3,Dark,B,0.834
slac1-3,Dark,B,1.714
slac1-3,Dark,B,2.078
slac1-3,Dark,B,1.752
slac1-3,Dark,B,1.713
slac1-3,Dark,B,1.422
slac1-3,Dark,B,1.539
slac1-3,Dark,B,1.341
slac1-3,Dark,B,1.956
slac1-3,Dark,B,1.773
slac1-3,Dark,B,1.007
slac1-3,Dark,B,0.226
slac1-3,Dark,B,0.745
slac1-3,Dark,B,0.359
slac1-3,Dark,B,0.471
slac1-3,Dark,B,0.9
slac1-3,Dark,B,0.347
slac1-3,Dark,B,0.4
slac1-3,Dark,B,0.211
slac1-3,Dark,B,0.703
slac1-3,Dark,B,0.27
slac1-3,Dark,B,0.266
slac1-3,Dark,B,1.279
slac1-3,Dark,B,0.533
slac1-3,Dark,B,0.314
slac1-3,Dark,B,0.266
slac1-3,Dark,B,0.444
slac1-3,Dark,B,0.333
slac1-3,Dark,B,0.2
slac1-3,Dark,B,0.447
slac1-3,Dark,B,0.34
slac1-3,Dark,B,0.178
slac1-3,Dark,B,0.178
slac1-3,Dark,B,0.333
slac1-3,Dark,B,0.446
slac1-3,Dark,B,0.251
slac1-3,Dark,B,0.1
Col-0,Mock,C,1.066
Col-0,Mock,C,0.711
Col-0,Mock,C,0.596
Col-0,Mock,C,0.34
Col-0,Mock,C,0.716
Col-0,Mock,C,0.333
Col-0,Mock,C,0.133
Col-0,Mock,C,0.284
Col-0,Mock,C,0.222
Col-0,Mock,C,0.16
Col-0,Mock,C,0.314
Col-0,Mock,C,0.333
Col-0,Mock,C,0.275
Col-0,Mock,C,0.596
Col-0,Mock,C,0.223
Col-0,Mock,C,0.736
Col-0,Mock,C,0.285
Col-0,Mock,C,0.538
Col-0,Mock,C,0.242
Col-0,Mock,C,0.133
Col-0,Mock,C,0.188
Col-0,Mock,C,0.067
Col-0,Mock,C,0.275
Col-0,Mock,C,0.672
Col-0,Mock,C,1.234
Col-0,Mock,C,0.776
Col-0,Mock,C,0.099
Col-0,Mock,C,0.656
Col-0,Mock,C,0.099
Col-0,Mock,C,0.348
Col-0,Mock,C,0.27
Col-0,Mock,C,0.405
Col-0,Mock,C,0.427
Col-0,Mock,C,0.275
Col-0,Mock,C,0.48
Col-0,Mock,C,0.444
Col-0,Mock,C,0.266
Col-0,Mock,C,0.178
Col-0,Mock,C,0.275
Col-0,Mock,C,0.178
Col-0,Mock,C,0.239
slac1-3,Mock,C,2.265
slac1-3,Mock,C,0.984
slac1-3,Mock,C,0.388
slac1-3,Mock,C,1.379
slac1-3,Mock,C,1.272
slac1-3,Mock,C,0.799
slac1-3,Mock,C,0.676
slac1-3,Mock,C,1.066
slac1-3,Mock,C,1.794
slac1-3,Mock,C,0.178
slac1-3,Mock,C,0.421
slac1-3,Mock,C,0.656
slac1-3,Mock,C,2.038
slac1-3,Mock,C,0.199
slac1-3,Mock,C,0.4
slac1-3,Mock,C,1.688
slac1-3,Mock,C,0.676
slac1-3,Mock,C,0.569
slac1-3,Mock,C,0.711
slac1-3,Mock,C,0.537
slac1-3,Mock,C,1.551
slac1-3,Mock,C,0.533
slac1-3,Mock,C,0.133
slac1-3,Mock,C,0.754
slac1-3,Mock,C,0.533
slac1-3,Mock,C,1.353
slac1-3,Mock,C,0.562
slac1-3,Mock,C,1.243
slac1-3,Mock,C,0.298
slac1-3,Mock,C,0.251
slac1-3,Mock,C,0.52
slac1-3,Mock,C,0.754
slac1-3,Mock,C,0.993
slac1-3,Mock,C,0.838
