Genotype ,Treatment,Letter,Aperture
Col-0,Pre,A,1.132
Col-0,Pre,A,0.843
Col-0,Pre,A,0.843
Col-0,Pre,A,1.11
Col-0,Pre,A,0.957
Col-0,Pre,A,1.734
Col-0,Pre,A,0.799
Col-0,Pre,A,0.708
Col-0,Pre,A,0.491
Col-0,Pre,A,1.117
Col-0,Pre,A,2.864
Col-0,Pre,A,0.735
Col-0,Pre,A,0.314
Col-0,Pre,A,0.636
Col-0,Pre,A,0.894
Col-0,Pre,A,1.583
Col-0,Pre,A,1.394
Col-0,Pre,A,1.359
Col-0,Pre,A,0.977
Col-0,Pre,A,0.998
Col-0,Pre,A,0.614
Col-0,Pre,A,1.14
Col-0,Pre,A,0.533
Col-0,Pre,A,0
Col-0,Pre,A,1.522
Col-0,Pre,A,1.138
Col-0,Pre,A,0.833
Col-0,Pre,A,1.803
Col-0,Pre,A,1.332
Col-0,Pre,A,1.001
Col-0,Pre,A,1.803
Col-0,Pre,A,1.702
Col-0,Pre,A,1.314
Col-0,Pre,A,1.446
Col-0,Pre,A,1.019
Col-0,Pre,A,1.43
Col-0,Pre,A,0.915
Col-0,Pre,A,0.464
Col-0,Pre,A,1.479
Col-0,Pre,A,0.542
Col-0,Pre,A,1.534
Col-0,Pre,A,0.333
Col-0,Pre,A,0.826
Col-0,Pre,A,0.577
Col-0,Pre,A,1.555
Col-0,Pre,A,0.799
Col-0,Pre,A,0.974
Col-0,Pre,A,0.954
Col-0,Pre,A,1.581
Col-0,Pre,A,0.894
Col-0,Pre,A,1.163
Col-0,Pre,A,1.812
Col-0,Pre,A,1.592
Col-0,Pre,A,0.916
Col-0,Pre,A,1.968
Col-0,Pre,A,0.928
Col-0,Pre,A,1.138
Col-0,Pre,A,1.621
Col-0,Pre,A,1.15
Col-0,Pre,A,1.201
Col-0,Pre,A,1.534
Col-0,Pre,A,1.206
Col-0,Pre,A,1.185
Col-0,Pre,A,1.14
Col-0,Pre,A,0.881
Col-0,Pre,A,1.518
Col-0,Pre,A,2.197
Col-0,Pre,A,1.293
Col-0,Pre,A,1.545
Col-0,Pre,A,1.743
Col-0,Pre,A,0.888
Col-0,Pre,A,0.875
Col-0,Pre,A,2.54
Col-0,Pre,A,1.202
slac1-3,Pre,A,1.192
slac1-3,Pre,A,3.789
slac1-3,Pre,A,1.503
slac1-3,Pre,A,1.785
slac1-3,Pre,A,0.97
slac1-3,Pre,A,1.476
slac1-3,Pre,A,3.347
slac1-3,Pre,A,3.18
slac1-3,Pre,A,4.133
slac1-3,Pre,A,3.836
slac1-3,Pre,A,2.913
slac1-3,Pre,A,2.205
slac1-3,Pre,A,3.446
slac1-3,Pre,A,1.262
slac1-3,Pre,A,1.534
slac1-3,Pre,A,2.895
slac1-3,Pre,A,2.705
slac1-3,Pre,A,3.215
slac1-3,Pre,A,2.87
slac1-3,Pre,A,3.252
slac1-3,Pre,A,3.781
slac1-3,Pre,A,1.613
slac1-3,Pre,A,2.668
slac1-3,Pre,A,4.915
slac1-3,Pre,A,3.156
slac1-3,Pre,A,2.449
slac1-3,Pre,A,1.888
slac1-3,Pre,A,1.948
slac1-3,Pre,A,3.307
slac1-3,Pre,A,4.146
slac1-3,Pre,A,1.908
slac1-3,Pre,A,1.921
slac1-3,Pre,A,1.921
slac1-3,Pre,A,3.028
slac1-3,Pre,A,1.764
slac1-3,Pre,A,2.844
slac1-3,Pre,A,2.133
slac1-3,Pre,A,1.95
slac1-3,Pre,A,1.201
slac1-3,Pre,A,0.993
slac1-3,Pre,A,3.17
slac1-3,Pre,A,3.14
slac1-3,Pre,A,1.905
slac1-3,Pre,A,3.005
slac1-3,Pre,A,3.798
slac1-3,Pre,A,2.5
slac1-3,Pre,A,2.606
slac1-3,Pre,A,2.027
slac1-3,Pre,A,2.678
slac1-3,Pre,A,1.996
Col-0,Dark ,B,1.084
Col-0,Dark ,B,0.549
Col-0,Dark ,B,0.478
Col-0,Dark ,B,0.647
Col-0,Dark ,B,0.533
Col-0,Dark ,B,0.619
Col-0,Dark ,B,0.805
Col-0,Dark ,B,0.284
Col-0,Dark ,B,0.745
Col-0,Dark ,B,0.183
Col-0,Dark ,B,0.266
Col-0,Dark ,B,0.48
Col-0,Dark ,B,0.754
Col-0,Dark ,B,0.251
Col-0,Dark ,B,0.537
Col-0,Dark ,B,0.497
Col-0,Dark ,B,0.358
Col-0,Dark ,B,0.866
Col-0,Dark ,B,0.935
Col-0,Dark ,B,0.099
Col-0,Dark ,B,0.298
Col-0,Dark ,B,0.6
Col-0,Dark ,B,0.716
Col-0,Dark ,B,0.745
Col-0,Dark ,B,0.81
Col-0,Dark ,B,0.355
Col-0,Dark ,B,0.251
Col-0,Dark ,B,0.377
Col-0,Dark ,B,0.777
Col-0,Dark ,B,0.133
Col-0,Dark ,B,0.298
slac1-3,Dark ,B,0.708
slac1-3,Dark ,B,1.007
slac1-3,Dark ,B,0.542
slac1-3,Dark ,B,1.583
