9AC,Treatment,Letter,Replicate,Aperture
A,0.4mM,E,1,1.4666
A,0.4mM,E,2,1.0594
A,0.4mM,E,3,1.3248
A,0mM,D,1,0.71725
A,0mM,D,2,1.092538462
A,0mM,D,3,0.795066667
A,100mM,I,1,0.244333333
A,100mM,I,2,0.349125
A,100mM,I,3,0.409
A,1mM,F,1,1.538416667
A,1mM,F,2,1.794923077
A,1mM,F,3,1.636631579
A,30mM,G,1,0.512928571
A,30mM,G,2,0.8456
A,30mM,G,3,0.778083333
A,50mM,H,1,0.27435
A,50mM,H,2,0.401923077
A,50mM,H,3,0.62752381
B,0.4mM,E,1,1.309333333
B,0.4mM,E,2,1.192558824
B,0.4mM,E,3,1.557892857
B,0mM,D,1,1.405
B,0mM,D,2,1.520571429
B,0mM,D,3,1.707428571
B,100mM,I,1,0.383
B,100mM,I,2,0.356357143
B,100mM,I,3,0.3985
B,1mM,F,1,1.672347826
B,1mM,F,2,1.674777778
B,1mM,F,3,1.670555556
B,30mM,G,1,0.638833333
B,30mM,G,2,0.9645
B,30mM,G,3,0.9685
B,50mM,H,1,0.493818182
B,50mM,H,2,0.912863636
B,50mM,H,3,0.808545455
Dark,Dark,B,1,0.333222222
Dark,Dark,B,2,0.289823529
Dark,Dark,B,3,0.245666667
