,obs,Group,time,elapsed,date,hhmmss,averaging,fanrpm,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P1_Fmax,T@P1_Fmax,Q@P1_Fmax,P1_PredF,P1_??F,P2_dur,P2_ramp,P2_int,P2_int_se,P2_slp,P2_slp_se,P2_R2,P2_dQdt,P3_dur,P3_Fmax,T@P3_Fmax,Q@P3_Fmax,P3_PredF,P3_??F,ID,Dur,DCo,InitSlope,Fo,F1,T@F1,T@HIR,F2,T@F2,DCmax,T@DCmax,PhiPS2_dc,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,??Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,??CO2,CO2_s_d,CO2_r_d,??H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,??CO2:MN,??CO2:SLP,??CO2:SD,??CO2:OK,??H2O:MN,??H2O:SLP,??H2O:SD,??H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
2.5.24,1,a,1714636245,0,20240502 10:50:45,10:50:45,none,5557.26,1714636245,0.0003973,0.397300082,2.365310778,418.984,291.7356798,29.37846507,42.19266843,0.031756586,1.979935929,0.031476309,0.019697669,63.8435112,26.4990561,25.5795,3.291205646,60.48286929,2.053854396,3.395762172,1.237351249,-17.52093361,56.34926323,6.071274603,108.7431154,0,0,1,0,25379,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,400.022,336.01848,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636245,418.984,419.937,20.3953,20.2488,418.834,20.2403,531.327,100.656,0.0463381,26.1074,25.5795,999.9,0,0,4935,0,0.226619,-0.996246,427.563,428.616,-0.0834408,419.937,20.2488,2.02976,2.03816,17.6784,17.7439,400.022,1,0,0,514.143,4.99918,2107.19,3830.25,36.75,40.312,38.625,40.937,39.875,395.02,0,0,1714636244,0,534.52588,-177.1547689,-704.8984604,2187.708,15,1714636259,10:50:58,1714636259,1714636258,1,0.043,0.23,0.15,0.155,420,20,3.11,1.02,-0.9361553,0.00084385,0.134068778,1,-0.096855508,0.021362689,0.00526586,1,2,2,02-Feb,3.14794,2.65376,0.102691,0.104014,0.101361,0.102375,26689.9,28117.7,28259.4,29332.6,32700.9,33312.8,40357.5,41563.5,1.8736,1.792,0.0959635,0,24.0045,999.9,68.1,26.9,24.0727,29.5855,10.8614,1,-0.163049,-0.357843,20.298,5.23167,11.9021,4.962,3.292,5862.6,9999,3780,102.2,1.85828,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,0.15,0.155,0.107,0,0,0,-0.075,0,0,0,-1,-1,-1,-1,21.9,21.8,1.02661,2.49023,1.59424,2.15454,1.50269,2.2644,31.0202,15.3929,18,528.071,513.792,25.0001,25.3086,30.0002,25.3466,25.327,20.6315,18.5397,68.3022,25,420,20.2778,100.776,100.653
2.5.24,2,a,1714636305,60,20240502 10:51:45,10:51:45,none,5557.26,1714636305,0.000458049,0.45804944,2.265403936,418.883,309.1987797,31.13429879,42.1787838,0.035775143,2.034802901,0.035429353,0.022174135,63.8285088,26.49586774,25.6532,3.305631695,59.92511914,2.0383581,3.401508632,1.267273595,-20.19998032,52.96330196,5.555439247,102.1472697,0,0,1,0,26714,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.928,335.93952,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636305,418.883,419.81,20.2432,20.0739,418.83,20.0982,530.156,100.649,0.0444724,26.136,25.6532,999.9,0,0,5160,0,0.226619,-0.829651,427.641,428.41,0.179049,419.81,20.0739,2.03844,2.02042,17.7462,17.6053,399.928,1,0,0,413.515,4.99918,1698.45,3829.34,35.75,38.5,37.437,38.187,38.687,394.93,0,0,1714636304,0,421.69948,-72.19323063,-303.0153842,1734.2456,15,1714636326,10:52:05,1714636326,1714636320,2,-0.097,-0.009,0.053,0.145,420,20,1.87,0.98,-0.95225975,-0.256813598,0.170517837,0,0.189930725,-0.119459021,0.012939648,0,0,2,0/2,3.1466,2.6529,0.10268,0.103981,0.100837,0.101729,26689.7,28119.3,28258.9,29333.2,32719.9,33337.4,40357.2,41564.3,1.872,1.7936,0.0977516,0,24.049,999.9,68.1,26.9,24.072,29.1955,11.1018,1,-0.162642,-0.343573,20.2977,5.23167,11.9021,4.9616,3.292,5864,9999,3800.6,102.2,1.85828,1.85361,1.85562,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,0.053,0.145,0.150047619,0,0,0,0.15469,0,0,0,-1,-1,-1,-1,0.8,0.8,1.02661,2.48657,1.59424,2.15454,1.50269,2.33276,31.0202,15.3929,18,527.121,514.907,25.0001,25.3128,30.0001,25.3529,25.3333,20.639,19.3805,68.3022,25,420,20.0809,100.774,100.655
2.5.24,3,a,1714636365,120,20240502 10:52:45,10:52:45,none,5557.26,1714636365,0.000486494,0.486493974,6.390434666,418.772,141.5229022,14.25120965,42.16990659,0.038008695,1.983600416,0.037608679,0.023541013,63.8181348,26.47158472,25.6451,3.304043503,59.93286662,2.035971936,3.397087526,1.268071567,-21.45438424,50.14410299,5.394680804,97.90253435,0,0,1,0,25468,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.863,335.88492,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636365,418.772,421.258,20.2184,20.0387,418.8,20.0684,530.504,100.654,0.0449641,26.114,25.6451,999.9,0,0,4950,0,0.226619,-2.40555,427.493,429.872,0.175081,421.258,20.0387,2.0346,2.01698,17.7162,17.5782,399.863,1,0,0,365.018,4.99918,1503.36,3828.71,35.125,37.875,36.875,37.375,38.062,394.86,0,0,1714636364,0,369.00612,-36.57523071,-142.0623075,1520.3632,15,1714636383,10:53:03,1714636379,1714636383,3,-0.08,0.005,-0.028,0.15,419,20,2.15,0.52,-1.15902448,-1.482580505,0.45537047,0,0.156845073,0.010129714,0.006509411,1,1,2,01-Feb,3.14698,2.65244,0.102677,0.104256,0.100731,0.101604,26690.1,28110.1,28259.2,29332.6,32723.6,33341.9,40357,41564,1.872,1.7944,0.0949204,0,24.0874,999.9,68,26.9,24.0402,29.4655,10.9215,1,-0.16252,-0.333115,20.2996,5.22927,11.9021,4.962,3.292,5865.3,9999,3821.5,102.2,1.85828,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,-0.028,0.15,0.052619048,0,0,0,0.14536,0,0,0,-1,-1,-1,-1,0.7,0.8,1.02783,2.48291,1.59424,2.15454,1.50269,2.33887,31.0202,15.3841,18,527.18,515.492,25.0003,25.3171,30.0002,25.3593,25.3396,20.6343,19.0713,68.3022,25,420,20.1329,100.775,100.653
2.5.24,4,a,1714636425,180,20240502 10:53:45,10:53:45,none,5557.17,1714636425,0.000308699,0.308699411,3.09437291,418.68,204.8036446,20.6236044,42.16082534,0.024000703,2.065071789,0.023846809,0.014918,63.8650572,26.5186013,25.6685,3.308633434,60.05783426,2.039686513,3.396203907,1.268946921,-13.61364404,49.1086115,5.075326189,104.4353508,0,0,1,0,27457,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,400.157,336.13188,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636425,418.68,419.894,20.2552,20.1413,418.702,20.1042,531.074,100.656,0.0434013,26.1096,25.6685,999.9,0,0,5285,0,0.226619,-1.21951,427.33,428.525,0.113043,419.894,20.1413,2.03872,2.02734,17.7483,17.6595,400.157,1,0,0,339.582,4.99918,1411.33,3831.56,35.812,39.375,37.687,39.375,39,395.16,0,0,1714636424,0,342.4179615,-18.07627351,-72.15692307,1418.747308,15,1714636442,10:54:02,1714636442,1714636438,4,0.005,0.001,-0.022,0.151,420,20,2.05,0.89,-1.27294555,-0.055689884,0.183925966,1,0.147261067,-0.195028866,0.024688574,0,1,2,01-Feb,3.14763,2.6524,0.102659,0.103999,0.100861,0.101978,26690.1,28117.6,28258.7,29332,32718.8,33326.4,40356.9,41562.1,1.8724,1.7932,0.0938773,0,24.128,999.9,68,26.9,24.0376,28.7754,11.1979,1,-0.161484,-0.324401,20.2996,5.23047,11.9021,4.9616,3.292,5866.4,9999,3838.5,102.2,1.85828,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85239,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,-0.022,0.151,-0.0277,0,0,0,0.150125,0,0,0,-1,-1,-1,-1,0.8,0.7,1.02783,2.48779,1.59424,2.15454,1.50269,2.2229,30.9985,15.3754,18,527.53,514.802,25.0002,25.3278,30.0001,25.3699,25.3502,20.6636,18.7982,68.3022,25,420,20.1316,100.774,100.65
2.5.24,5,a,1714636485,240,20240502 10:54:45,10:54:45,none,5557.26,1714636485,0.000461524,0.461524332,2.879520146,418.822,282.4141336,28.43813271,42.17393608,0.035976743,2.011736274,0.035623098,0.02229592,63.8162196,26.5071147,25.6846,3.311794697,59.99692667,2.041874564,3.403298598,1.269920133,-20.35322303,49.92263099,5.297609244,98.68323681,0,0,1,0,26150,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.851,335.87484,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636485,418.822,419.98,20.2775,20.1071,418.733,20.1325,530.711,100.652,0.0445634,26.1449,25.6846,999.9,0,0,5065,0,0.226619,-1.27008,427.379,428.598,0.176115,419.98,20.1071,2.04155,2.02382,17.7703,17.6319,399.851,1,0,0,327.078,4.99918,1358.08,3828.59,36.375,40.25,38.375,40.937,39.687,394.85,0,0,1714636484,0,327.91572,-9.101615353,-43.33076919,1364.1768,15,1714636513,10:55:13,1714636513,1714636499,5,0.111,-0.006,0.089,0.145,420,20,2.1,0.73,-1.325379075,0.237600259,0.181315984,0,0.166234825,0.075467471,0.010336456,1,1,2,01-Feb,3.14722,2.65254,0.102659,0.10401,0.100958,0.101848,26690.8,28117.3,28259.5,29332.2,32716.6,33331.8,40358.7,41562.7,1.8716,1.7924,0.0916421,0,24.1808,999.9,67.9,26.9,24.0043,29.4955,11.1018,1,-0.161585,-0.316863,20.3,5.23047,11.9021,4.9616,3.292,5867.7,9999,3860.3,102.2,1.85828,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,0.089,0.145,-0.0222,0,0,0,0.15077,0,0,0,-1,-1,-1,-1,0.7,0.8,1.02905,2.48535,1.59424,2.15576,1.50269,2.34131,30.9985,15.3754,18,527.065,514.296,25.0004,25.3342,30,25.3742,25.3523,20.6723,19.0894,68.3022,25,420,20.049,100.777,100.651
2.5.24,6,a,1714636545,300,20240502 10:55:45,10:55:45,none,5557.26,1714636545,0.000470578,0.470578153,3.898285143,418.431,238.8696371,24.05338005,42.13461364,0.036424415,2.015406109,0.036062615,0.022571341,63.8577156,26.54542722,25.7256,3.319857036,59.8185069,2.040849877,3.411736573,1.279007159,-20.75249653,50.11148959,5.310175835,98.52688449,0,0,1,0,26235,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,400.111,336.09324,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636545,418.431,419.973,20.2673,20.0937,418.395,20.1203,531.153,100.653,0.0436827,26.1868,25.7256,999.9,0,0,5080,0,0.226619,-1.48935,427.14,428.585,0.171782,419.973,20.0937,2.03978,2.02249,17.7565,17.6215,400.111,1,0,0,318.789,4.99918,1330.16,3831.11,36.937,40.875,38.875,41.875,40.25,395.11,0,0,1714636544,0,319.3724,-7.260076933,-21.49615381,1332.438,15,1714636560,10:55:59,1714636560,1714636559,6,-0.053,0.002,0.036,0.147,420,20,1.46,1,-1.256882878,-0.624506383,0.161479626,0,0.162312268,0.011754899,0.004228758,1,1,2,01-Feb,3.14771,2.65176,0.102597,0.10401,0.100915,0.1018,26692.5,28116.7,28259.3,29331.5,32718,33333.7,40358.3,41562.9,1.8716,1.7924,0.0917912,0,24.2195,999.9,67.9,26.9,24.0037,29.7054,10.9295,1,-0.162134,-0.310022,20.296,5.21609,11.9021,4.9588,3.289,5869,9999,3880.1,102.3,1.85825,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,0.036,0.147,0.0891,0,0,0,0.145166667,0,0,0,-1,-1,-1,-1,0.5,0.8,1.02905,2.49146,1.59424,2.15454,1.50269,2.27661,30.9985,15.3491,18,527.065,514.315,25.0002,25.3342,30,25.3742,25.3544,20.6776,19.0894,68.3022,25,420,20.0816,100.777,100.65
2.5.24,7,a,1714636605,360,20240502 10:56:45,10:56:45,none,5557.17,1714636605,0.00042184,0.421839544,3.305381398,418.678,248.641632,25.03882676,42.1619092,0.032677346,2.01423649,0.032385667,0.020267031,63.817656,26.58966415,25.7374,3.322180592,59.85920103,2.045438382,3.417082666,1.27674221,-18.6031239,51.67870324,5.480482306,102.3737176,0,0,1,0,26204,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.86,335.8824,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636605,418.678,419.989,20.3117,20.1561,418.686,20.1607,531.197,100.657,0.0454711,26.2133,25.7374,999.9,0,0,5075,0,0.226619,-1.26639,427.402,428.628,0.151876,419.989,20.1561,2.04414,2.02886,17.7905,17.6714,399.86,1,0,0,313.931,4.99918,1307.71,3828.67,36,38.75,37.625,38.625,38.875,394.86,0,0,1714636604,0,314.5402,-3.187615393,-19.22692303,1310.0952,15,1714636622,10:57:01,1714636622,1714636620,7,-0.044,0.004,-0.008,0.151,420,20,2.36,0.84,-1.3833245,-0.355077073,0.129955216,0,0.14388745,0.046072458,0.009322481,1,1,2,01-Feb,3.14777,2.6535,0.102656,0.104018,0.101066,0.102032,26691.6,28117.4,28260.2,29332.5,32712.4,33325.8,40358.3,41563.7,1.8722,1.7934,0.0908971,0,24.246,999.9,67.8,26.9,23.9663,29.2854,11.238,1,-0.162012,-0.30305,20.2985,5.22927,11.9021,4.962,3.292,5870.4,9999,3902,102.3,1.85825,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85239,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,-0.008,0.151,0.036047619,0,0,0,0.14731,0,0,0,-1,-1,-1,-1,0.8,0.8,1.02905,2.48413,1.59424,2.15454,1.50269,2.26318,30.9769,15.3404,18,527.444,514.953,25,25.332,30.0001,25.3742,25.3523,20.6866,18.5091,68.3022,25,420,20.204,100.778,100.653
2.5.24,8,a,1714636665,420,20240502 10:57:45,10:57:45,none,5557.26,1714636665,0.000469193,0.469193147,4.065329904,418.545,232.3604788,23.39962824,42.14915313,0.036564221,1.993479978,0.036195687,0.022655106,63.825636,26.54263523,25.7451,3.323697576,60.20259434,2.053153028,3.41040623,1.270544549,-20.69141778,46.76128151,5.009988947,94.90548868,0,0,1,0,25702,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.91,335.9244,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636665,418.545,420.15,20.388,20.2149,418.523,20.238,531.054,100.659,0.0449939,26.1802,25.7451,999.9,0,0,4990,0,0.226619,-1.6351,427.226,428.819,0.174236,420.15,20.2149,2.05234,2.0348,17.854,17.7178,399.91,1,0,0,310.237,4.99918,1293.97,3829.16,35.062,37.625,36.687,37.062,38,394.91,0,0,1714636664,0,312.13664,-4.422384579,-12.06076921,1295.1384,15,1714636682,10:58:01,1714636680,1714636682,8,0.03,-0.001,0.022,0.15,420,20,1.76,0.85,-1.478103659,-0.245084948,0.149597254,0,0.159174341,0.050045456,0.006321904,1,1,2,01-Feb,3.14763,2.65266,0.102629,0.104051,0.101349,0.102249,26692.7,28116.3,28260.5,29332.4,32702.4,33318.1,40358.9,41564.2,1.8724,1.7928,0.0907481,0,24.2562,999.9,67.8,26.9,23.9655,29.4655,11.2901,1,-0.162744,-0.30305,20.2987,5.22927,11.9021,4.9616,3.292,5871.5,9999,3920,102.3,1.85825,1.85364,1.85562,1.85577,1.85553,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,0.022,0.15,-0.008047619,0,0,0,0.151109524,0,0,0,-1,-1,-1,-1,0.7,0.8,1.03027,2.47437,1.59424,2.15454,1.50269,2.33154,30.9769,15.3404,18,527.53,514.519,24.9999,25.3278,30,25.3699,25.348,20.6936,18.2179,68.3022,25,420,20.2091,100.779,100.653
2.5.24,9,a,1714636725,480,20240502 10:58:45,10:58:45,none,5557.26,1714636725,0.000506491,0.506491002,4.662304318,418.361,221.5021086,22.30487798,42.12822676,0.039589665,1.946541347,0.039147725,0.024506624,63.825636,26.51209673,25.711,3.316984094,60.16326718,2.048867315,3.405512052,1.268116779,-22.33625318,46.68866781,5.121330936,93.29938157,0,0,1,0,24567,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.91,335.9244,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636725,418.361,420.196,20.3466,20.1598,418.397,20.1956,531.248,100.653,0.0452648,26.1559,25.711,999.9,0,0,4800,0,0.226619,-1.77698,427.109,428.841,0.185995,420.196,20.1598,2.04788,2.02916,17.8194,17.6737,399.91,1,0,0,308.385,4.99918,1286.63,3829.17,35.687,39.125,37.562,39,38.875,394.91,0,0,1714636724,0,309.4715385,-2.656957259,-5.457435892,1287.512692,15,1714636746,10:59:06,1714636746,1714636741,9,-0.058,0,-0.036,0.151,420,20,1.41,0.77,-1.49899675,0.197574597,0.212790245,0,0.188217225,-0.028278428,0.008536605,1,1,2,01-Feb,3.14783,2.65211,0.102602,0.104055,0.101192,0.102044,26693.3,28116.9,28260.3,29333.2,32708.7,33326.5,40359.4,41565.2,1.8722,1.792,0.0879169,0,24.2685,999.9,67.8,26.9,23.9673,30.0354,11.222,1,-0.163293,-0.304139,20.3008,5.22927,11.9021,4.9616,3.292,5872.8,9999,3940.8,102.3,1.85831,1.85364,1.85565,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,-0.036,0.151,0.02215,0,0,0,0.150266667,0,0,0,-1,-1,-1,-1,0.8,0.7,1.03027,2.49023,1.59424,2.15332,1.50269,2.23755,30.9769,15.3316,18,527.349,513.954,25,25.3214,30,25.3636,25.3439,20.698,18.5057,68.3022,25,420,20.1075,100.78,100.656
2.5.24,10,a,1714636785,540,20240502 10:59:45,10:59:45,none,5557.26,1714636785,0.000535325,0.535324992,4.120928223,418.478,251.1540027,25.29348063,42.1445212,0.041525269,1.999664972,0.041052095,0.025699623,63.8173368,26.50382071,25.7257,3.319876722,59.91013873,2.041573831,3.407726763,1.27830289,-23.60783216,47.56397984,5.07939444,92.85287892,0,0,1,0,25853,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,399.858,335.88072,0.84,0.1596,2,0.5,0: Broadleaf,2,1714636785,418.478,420.115,20.272,20.0744,418.389,20.121,530.843,100.664,0.0450485,26.1669,25.7257,999.9,0,0,5015,0,0.226619,-1.76144,427.01,428.721,0.197285,420.115,20.0744,2.04062,2.02077,17.7631,17.608,399.858,1,0,0,307.505,4.99918,1279.39,3828.66,36.25,40.062,38.187,40.625,39.5,394.86,0,0,1714636784,0,307.24872,-2.723769199,-6.801538485,1281.0432,15,1714636826,11:00:25,1714636826,1714636805,10,0.125,0,0.089,0.151,420,20,2.28,0.78,-1.603789,0.097555947,0.174060419,1,0.216863125,-0.107367051,0.014453989,0,1,2,01-Feb,3.14736,2.65283,0.102611,0.104051,0.100932,0.101744,26694.6,28117.4,28262,29333.5,32720.1,33337.9,40361.8,41565.6,1.872,1.7926,0.0873208,0,24.293,999.9,67.7,26.9,23.9276,29.2254,11.0537,1,-0.163902,-0.302614,20.3003,5.23047,11.9021,4.9616,3.292,5874.1,9999,3961.6,102.3,1.85828,1.85364,1.85562,1.85577,1.85547,1.85532,1.85028,1.85242,0,0,0,0,0,iiiiiiii,off,on,off,off,0,100,100,0.089,0.151,-0.03585,0,0,0,0.15067,0,0,0,-1,-1,-1,-1,0.7,0.7,1.03027,2.48779,1.59424,2.15332,1.50269,2.28394,30.9769,15.3228,18,527.179,514.309,25.0001,25.315,30,25.3593,25.3396,20.6984,18.7773,68.3022,25,420,20.0916,100.786,100.657
