Index,Component Name,AtRL/D FC,T test,VfRL/D FC,T test
Riken_1,Dimethylglycine-TMS,0.618606387,0.206585339,0.872282472,0.695934612
Riken_10,2-Aminoethanol-3TMS,0.975560826,0.91947824,1.213211195,0.009513783
Riken_100,Docosapentaenoic acid-TMS,1.347512337,0.129392289,2.389311045,0.204769773
Riken_102,Batyl alcohol-2TMS,1.275767075,0.01116625,0.727500817,0.322580674
Riken_106,Lactitol-9TMS,0.958907417,0.799717244,0.972131249,0.849348272
Riken_108,Maltitol-9TMS,0.358314153,0.108245935,1.352457708,0.101158081
Riken_109,5'-Methylthioadenosine-2TMS,0.809677784,0.077165039,1.174693419,0.34591454
Riken_12,Phosphoric acid-3TMS,0.139906462,0.041172865,0.546161026,0.045389502
Riken_14,Proline-2TMS,1.439216875,0.38280373,1.839842648,0.240296026
Riken_15,Phenylacetic acid-TMS,1.53869868,0.350493514,0.379839994,0.205402728
Riken_17,3-Hydroxypyruvic acid-meto-2TMS(2),0.7582861,0.447501241,1.075272198,0.813079707
Riken_18,Uracil-2TMS,1.536561949,0.015557533,0.586172551,0.035967548
Riken_2,Glyoxylic acid-meto-TMS,0.585763455,0.182326377,0.871150683,0.691891198
Riken_21,Acetylglycine-2TMS,1.286254265,0.389612403,0.499756822,0.089249099
Riken_24,3-Aminopropanoic acid-3TMS,0.724257828,0.388953415,0.975199019,0.900509365
Riken_25,Erythrulose-meto-3TMS(1),0.679182373,0.670022944,1.314138404,0.626883183
Riken_27,Malic acid-3TMS,0.655914967,0.258221177,0.989490164,0.980353231
Riken_28,N-Acetylserine-2TMS,0.873041371,0.7869415,1.859410551,0.032349219
Riken_3,Lactic acid-2TMS,0.230717808,0.017711022,1.780570045,0.540213704
Riken_30,3-Aminoglutaric acid-2TMS,1.080780738,0.829092633,0.912109011,0.657955579
Riken_31,4-Aminobutyric acid-3TMS,0.351158565,0.191806714,1.336822665,0.02969367
Riken_32,Threonic acid-4TMS,2.495768396,0.003819755,1.483467082,0.204156058
Riken_33,2-Ketoglutaric acid-meto-2TMS,0.419826699,0.106620733,0.686522066,0.294587927
Riken_37,Xylose-meto-4TMS(1),1.139586419,0.478447068,1.272769965,0.624250495
Riken_38,Ureidopropionic acid-3TMS,1.600509102,0.031468863,1.605002402,0.157529757
Riken_40,Threo-b-hydroxyaspartic acid-4TMS,0.669328969,0.236380308,0.406731547,0.005622623
Riken_41,2-Ketoadipic acid-meto-2TMS(2),1.041154633,0.928580336,1.568155803,0.02126628
Riken_42,N-Acetylaspartic acid-3TMS,0.997021751,0.989234947,1.243425931,0.389924189
Riken_43,Asparagine-3TMS,0.610393025,0.578032679,1.601471583,0.035033004
Riken_44,Ribonolactone-3TMS,1.088751846,0.459628063,1.051027878,0.793209204
Riken_45,Arabitol-5TMS,0.746982633,0.029952822,0.891605307,0.337737788
Riken_47,"1,6-Anhydroglucose-3TMS",0.761197545,0.037701842,0.893103722,0.320654264
Riken_48,Rhamnose-meto-4TMS(2),0.908188878,0.732580653,0.956385704,0.691672702
Riken_50,2-Deoxy-glucose-4TMS(1),0.755374703,0.033536888,0.893213521,0.319746175
Riken_51,Dihydroxyacetone phosphate-meto-3TMS(1),0.533556982,0.363373482,0.549525497,0.215658029
Riken_52,Glycerol 3-phosphate-4TMS,0.671699888,0.479560458,0.787743054,0.509586149
Riken_58,2-Aminopimelic acid-3TMS,0.389716951,0.094696555,0.697460108,0.265665565
Riken_61,Arginine-3TMS,0.560576085,0.505392001,2.335031132,0.027150558
Riken_62,Glycyl-Glycine-3TMS,1.548590018,0.184708506,3.113471322,0.061767286
Riken_63,Psicose-meto-5TMS(1),1.485690103,0.033740108,3.971175623,0.064987618
Riken_65,Pyridoxal-meto-2TMS(1),1.458364295,0.048024862,4.581255153,0.088288622
Riken_66,Sorbose-meto-5TMS(2),1.453326316,0.042700883,3.897499932,0.032629959
Riken_67,Allose-meto-5TMS(1),1.076186813,0.589206617,3.070616549,0.104546655
Riken_7,Valine-2TMS,1.065015115,0.700523708,1.013797977,0.950423744
Riken_70,"Glucono-1,5-lactone-4TMS",1.084801495,0.545314929,3.004303743,0.09983453
Riken_72,Hippuric acid-TMS,1.07227822,0.573234992,3.247826791,0.148031131
Riken_73,Mannose-meto-5TMS(2),1.057432959,0.67847209,3.525696887,0.116827874
Riken_75,Erythrose 4-phosphate-meto-4TMS(2),0.566178701,0.017302933,1.450385493,0.348863181
Riken_80,Galactosamine-5TMS(2),0.438777762,0.27200067,1.863783118,0.020004208
Riken_82,Pyridoxamine-3TMS,0.673374349,0.751802934,1.803001853,0.112526206
Riken_84,S-Benzyl-Cysteine-4TMS,0.131754679,0.080199489,0.997040475,0.991033889
Riken_85,Inositol-6TMS(2),0.670091828,0.183529735,1.033785187,0.885085663
Riken_88,Kynurenic acid-2TMS,0.878456616,0.581799423,0.941527588,0.48920576
Riken_89,Uric acid-4TMS,0.941111499,0.756673535,0.942241614,0.557147674
Riken_90,Metoprolol-TMS,0.826128825,0.606009665,1.001622623,0.984455599
Riken_91,Kynurenine-2TMS,0.652220789,0.131276362,0.616908398,0.195852567
Riken_92,Suberylglycine-2TMS,0.166711591,0.062571768,0.778844246,0.50513741
Riken_94,Mannose 6-phosphate-meto-6TMS(2),0.234345666,0.051520631,1.051605185,0.854256335
Riken_96,5-Methoxytryptamine-2TMS,0.882906115,0.696270965,1.344494959,0.439642318
Riken_99,N-Acetylneuraminic acid-6TMS,1.062895965,0.781968271,2.282929449,0.177449452
UCDavis_1,Xylose,1.263843838,0.159897007,0.412834175,0.359768041
UCDavis_10,Tyrosine,3.420060181,0.008855674,0.435494705,0.154584085
UCDavis_100,Hexuronic acid,1.109195402,0.463636099,1.193411068,0.175633421
UCDavis_101,Hexose-6-phosphate,0.625560538,0.235312406,1.011358856,0.958348683
UCDavis_102,Heptadecanoic acid,0.928615511,0.646442597,1.06574515,0.797241944
UCDavis_103,Guanosine,1.242040816,0.075518584,0.809156095,0.543029591
UCDavis_105,Glycyl Proline,0.715528536,0.098992488,2.278203724,0.052221811
UCDavis_107,Glycine,1.343152008,0.210553312,1.921052632,0.006965574
UCDavis_109,Glycerol-3-galactoside,1.259479486,0.57137724,1.301527183,0.255386272
UCDavis_11,Tyramine,1.185457667,0.176609608,2.956693168,0.101745453
UCDavis_111,Glyceric acid,0.923644432,0.571050498,0.999696866,0.998602501
UCDavis_112,Glutamine,0.6946125,0.321398324,2.385535926,0.246274341
UCDavis_114,Glucose-6-phosphate,0.787148594,0.328497804,1.503161947,0.295359346
UCDavis_115,Glucose-1-phosphate,1.027106949,0.907119591,1.973675611,0.014000246
UCDavis_116,Glucose,1.960440932,0.081932015,2.711511317,0.011421192
UCDavis_117,Gluconic acid lactone,0.990572986,0.954688046,1.122108705,0.786129986
UCDavis_118,Gluconic acid,0.928993085,0.83402254,1.397241379,0.227204877
UCDavis_119,Galacturonic acid,0.797761482,0.177668818,0.792266557,0.207313199
UCDavis_12,Trisaccharide,0.986750349,0.947415832,1.031818182,0.891361683
UCDavis_120,Galactose,1.548210954,0.051806993,2.563510551,0.010180299
UCDavis_121,Galactinol,1.592819187,0.078846531,1.514588101,0.347182506
UCDavis_122,Fumaric acid,11.02840267,0.011402248,2.279397354,0.033405752
UCDavis_123,Fucose,0.953783728,0.592384158,1.024011476,0.82742861
UCDavis_125,Fructose,1.626438797,0.019918087,1.921825562,0.001539353
UCDavis_126,Ethanolamine,1.591198141,0.213526727,1.364369151,0.044946597
