Metabolite,Species,Score,Category
Dimethylglycine,Arabisopsis,0.618606387,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
2-Aminoethanol,Arabisopsis,0.975560826,"Amines, hexosamines and alkaloids"
Docosapentaenoic acid,Arabisopsis,1.347512337,FATTY ACIDS AND LIPIDS 
Batyl alcohol,Arabisopsis,1.275767075,FATTY ACIDS AND LIPIDS 
Lactitol,Arabisopsis,0.958907417,CARBOHYDRATES 
Maltitol,Arabisopsis,0.358314153,CARBOHYDRATES 
5'-Methylthioadenosine,Arabisopsis,0.809677784,NUCLEOTIDES AND NUCLEOSIDES 
Phosphoric acid,Arabisopsis,0.139906462,CARBOXYLIC ACIDS 
Proline,Arabisopsis,1.439216875,PROTEINOGENIC AMINO ACIDS 
Phenylacetic acid,Arabisopsis,1.53869868,CARBOXYLIC ACIDS 
3-Hydroxypyruvic acid,Arabisopsis,0.7582861,CARBOXYLIC ACIDS 
Uracil,Arabisopsis,1.536561949,NUCLEOTIDES AND NUCLEOSIDES 
Glyoxylic acid,Arabisopsis,0.585763455,CARBOXYLIC ACIDS 
Acetylglycine,Arabisopsis,1.286254265,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
3-Aminopropanoic acid,Arabisopsis,0.724257828,CARBOXYLIC ACIDS 
Erythrulose,Arabisopsis,0.679182373,CARBOHYDRATES 
N-Acetylserine,Arabisopsis,0.873041371,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
Lactic acid,Arabisopsis,0.230717808,CARBOXYLIC ACIDS 
3-Aminoglutaric acid,Arabisopsis,1.080780738,CARBOXYLIC ACIDS 
4-Aminobutyric acid,Arabisopsis,0.351158565,CARBOXYLIC ACIDS 
Threonic acid,Arabisopsis,2.495768396,CARBOXYLIC ACIDS 
2-Ketoglutaric acid,Arabisopsis,0.419826699,CARBOXYLIC ACIDS 
Xylose,Arabisopsis,1.139586419,CARBOHYDRATES 
Ureidopropionic acid,Arabisopsis,1.600509102,CARBOXYLIC ACIDS 
Threo-b-hydroxyaspartic acid,Arabisopsis,0.669328969,CARBOXYLIC ACIDS 
2-Ketoadipic acid,Arabisopsis,1.041154633,CARBOXYLIC ACIDS 
N-Acetylaspartic acid,Arabisopsis,0.997021751,CARBOXYLIC ACIDS 
Asparagine,Arabisopsis,0.610393025,PROTEINOGENIC AMINO ACIDS 
Ribonolactone,Arabisopsis,1.088751846,CARBOHYDRATES 
Arabitol,Arabisopsis,0.746982633,CARBOHYDRATES 
"1,6-Anhydroglucose",Arabisopsis,0.761197545,CARBOHYDRATES 
Rhamnose,Arabisopsis,0.908188878,CARBOHYDRATES 
2-Deoxy-glucose,Arabisopsis,0.755374703,CARBOHYDRATES 
Dihydroxyacetone phosphate,Arabisopsis,0.533556982,CARBOHYDRATES 
Glycerol 3-phosphate,Arabisopsis,0.671699888,CARBOHYDRATES 
2-Aminopimelic acid,Arabisopsis,0.389716951,CARBOXYLIC ACIDS 
Arginine,Arabisopsis,0.560576085,PROTEINOGENIC AMINO ACIDS 
Glycyl-Glycine,Arabisopsis,1.548590018,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
Psicose,Arabisopsis,1.485690103,CARBOHYDRATES 
Pyridoxal,Arabisopsis,1.458364295,"Amines, hexosamines and alkaloids"
Sorbose,Arabisopsis,1.453326316,CARBOHYDRATES 
Allose,Arabisopsis,1.076186813,CARBOHYDRATES 
Valine,Arabisopsis,1.065015115,PROTEINOGENIC AMINO ACIDS 
"Glucono-1,5-lactone",Arabisopsis,1.084801495,CARBOHYDRATES 
Hippuric acid,Arabisopsis,1.07227822,CARBOXYLIC ACIDS 
Mannose,Arabisopsis,1.057432959,CARBOHYDRATES 
Erythrose 4-phosphate,Arabisopsis,0.566178701,CARBOHYDRATES 
Galactosamine,Arabisopsis,0.438777762,"Amines, hexosamines and alkaloids"
Pyridoxamine,Arabisopsis,0.673374349,"Amines, hexosamines and alkaloids"
S-Benzyl-Cysteine,Arabisopsis,0.131754679,PROTEINOGENIC AMINO ACIDS 
Inositol,Arabisopsis,0.670091828,CARBOHYDRATES 
Kynurenic acid,Arabisopsis,0.878456616,CARBOXYLIC ACIDS 
Uric acid,Arabisopsis,0.941111499,CARBOXYLIC ACIDS 
Metoprolol,Arabisopsis,0.826128825,"Amines, hexosamines and alkaloids"
Kynurenine,Arabisopsis,0.652220789,PROTEINOGENIC AMINO ACIDS 
Suberylglycine,Arabisopsis,0.166711591,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
Mannose 6-phosphate,Arabisopsis,0.234345666,CARBOHYDRATES 
5-Methoxytryptamine,Arabisopsis,0.882906115,"Amines, hexosamines and alkaloids"
N-Acetylneuraminic acid,Arabisopsis,1.062895965,CARBOXYLIC ACIDS 
Tyrosine,Arabisopsis,3.420060181,PROTEINOGENIC AMINO ACIDS 
Hexuronic acid,Arabisopsis,1.109195402,CARBOXYLIC ACIDS 
Hexose-6-phosphate,Arabisopsis,0.625560538,CARBOHYDRATES 
Heptadecanoic acid,Arabisopsis,0.928615511,CARBOXYLIC ACIDS 
Guanosine,Arabisopsis,1.242040816,NUCLEOTIDES AND NUCLEOSIDES 
Glycyl Proline,Arabisopsis,0.715528536,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
Glycine,Arabisopsis,1.343152008,PROTEINOGENIC AMINO ACIDS 
Glycerol-3-galactoside,Arabisopsis,1.259479486,CARBOHYDRATES 
Tyramine,Arabisopsis,1.185457667,"Amines, hexosamines and alkaloids"
Glyceric acid,Arabisopsis,0.923644432,CARBOXYLIC ACIDS 
Glutamine,Arabisopsis,0.6946125,PROTEINOGENIC AMINO ACIDS 
Glucose-1-phosphate,Arabisopsis,1.027106949,CARBOHYDRATES 
Glucose,Arabisopsis,1.960440932,CARBOHYDRATES 
Gluconic acid lactone,Arabisopsis,0.990572986,CARBOXYLIC ACIDS 
Gluconic acid,Arabisopsis,0.928993085,CARBOXYLIC ACIDS 
Galacturonic acid,Arabisopsis,0.797761482,CARBOXYLIC ACIDS 
Trisaccharide,Arabisopsis,0.986750349,CARBOHYDRATES 
Galactose,Arabisopsis,1.548210954,CARBOHYDRATES 
Galactinol,Arabisopsis,1.592819187,CARBOHYDRATES 
Fumaric acid,Arabisopsis,11.02840267,CARBOXYLIC ACIDS 
Fucose,Arabisopsis,0.953783728,CARBOHYDRATES 
Fructose,Arabisopsis,1.626438797,CARBOHYDRATES 
Ethanolamine,Arabisopsis,1.591198141,"Amines, hexosamines and alkaloids"
Erythrose,Arabisopsis,2.584970377,CARBOHYDRATES 
Erythronic acid lactone,Arabisopsis,1.167761357,CARBOXYLIC ACIDS 
Epsilon-caprolactam,Arabisopsis,0.863831662,CARBOHYDRATES 
Trehalose,Arabisopsis,1.464163823,CARBOHYDRATES 
Enolpyruvate,Arabisopsis,0.708506076,CARBOXYLIC ACIDS 
Dihydroxyacetone,Arabisopsis,1.577252117,CARBOHYDRATES 
Digitoxose,Arabisopsis,0.778089734,CARBOHYDRATES 
Cyanoalanine,Arabisopsis,1.03424728,PROTEINOGENIC AMINO ACIDS 
Conduritol-beta-epoxide,Arabisopsis,2.037562604,CARBOHYDRATES 
Citrulline,Arabisopsis,0.416588276,NON-PROTEINOGENIC AMINO ACIDS AND DERIVATIVES 
Citric acid,Arabisopsis,0.315446026,CARBOXYLIC ACIDS 
Citramalic acid,Arabisopsis,3.031964854,CARBOXYLIC ACIDS 
Cerotinic acid,Arabisopsis,0.94400289,CARBOXYLIC ACIDS 
Cellobiose,Arabisopsis,1.23294959,CARBOHYDRATES 
Capric acid,Arabisopsis,0.745622896,CARBOXYLIC ACIDS 
Butyrolactam,Arabisopsis,1.091580869,"Amines, hexosamines and alkaloids"
Butylamine,Arabisopsis,1.046172249,"Amines, hexosamines and alkaloids"
Beta-gentiobiose,Arabisopsis,0.670820468,CARBOHYDRATES 
Beta-alanine,Arabisopsis,0.79639798,PROTEINOGENIC AMINO ACIDS 
Benzoic acid,Arabisopsis,0.649489126,CARBOXYLIC ACIDS 
Arachidic acid,Arabisopsis,0.931110249,CARBOXYLIC ACIDS 
Alpha-Ketoglutarate,Arabisopsis,0.646787755,CARBOXYLIC ACIDS 
Alpha-Aminoadipic acid,Arabisopsis,1.37015297,PROTEINOGENIC AMINO ACIDS 
Alloxanoic acid,Arabisopsis,0.800408223,CARBOXYLIC ACIDS 
